,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
60,1009.29,16.0,2.5,6153.333333333333,186.3,0.0,22.0,0.0,104.0,0.0,120.0
61,961.43,13.0,2.5,7102.875,183.08,0.0,24.2,0.0,114.4,0.0,108.0
62,1064.11,15.0,2.5,9339.53846153846,182.16,0.0,24.2,0.0,114.4,0.0,108.0
63,1038.79,15.0,2.5,9348.25,181.7,0.0,22.0,0.0,104.0,0.0,108.0
64,876.16,12.0,2.5,5494.769230769231,181.7,0.0,24.2,0.0,114.4,0.0,108.0
65,1058.31,15.0,2.5,8804.222222222223,92.0,0.0,24.2,0.0,114.4,0.0,90.0
66,592.87,8.0,2.5,8261.25,174.8,0.0,0.0,0.0,0.0,0.0,120.0
67,678.78,13.0,2.5,7737.6,174.8,0.0,0.0,0.0,0.0,0.0,120.0
68,662.85,11.0,2.5,8530.0,174.8,0.0,0.0,0.0,0.0,0.0,120.0
69,786.73,12.0,2.5,8271.533333333333,115.0,0.0,22.0,0.0,104.0,0.0,0.0
70,793.47,12.0,2.5,8546.5625,115.0,0.0,22.0,0.0,104.0,0.0,0.0
71,706.08,11.0,2.5,7845.057471264367,82.8,0.0,22.0,0.0,104.0,0.0,0.0
72,-704.27,21.0,2.5,4886.357142857143,0.0,0.0,0.44,0.0,2.08,0.0,0.0
73,1060.97,19.0,2.5,8715.555555555555,124.2,26.0,0.0,119.6,0.0,0.0,120.0
74,490.6,19.0,2.5,8331.743119266055,59.8,26.0,0.0,119.6,0.0,0.0,120.0
75,-85.83,18.0,2.5,8048.495575221239,59.8,26.0,0.0,119.6,0.0,0.0,120.0
76,-213.99,16.0,2.5,8352.192982456141,59.8,0.0,0.0,0.0,0.0,0.0,120.0
77,-534.9,17.0,2.5,8712.521739130434,0.0,26.0,0.0,119.6,0.0,0.0,120.0
78,-623.14,15.0,2.5,6688.068181818182,0.0,33.0,0.0,99.0,0.0,0.0,105.0
79,-59.9,15.0,2.5,7028.653846153846,0.0,116.0,0.0,78.0,0.0,90.0,0.0
80,-666.04,15.0,2.5,5214.333333333333,0.0,35.0,0.0,105.0,0.0,0.0,97.8
81,-621.57,15.0,2.5,6849.423076923077,0.0,33.0,0.0,99.0,0.0,0.0,96.0
82,-631.81,15.0,2.5,6524.180327868852,0.0,33.0,0.0,99.0,0.0,0.0,96.0
83,-649.24,15.0,2.5,7230.178571428572,0.0,33.0,0.0,99.0,0.0,0.0,0.0
84,-645.24,15.0,2.5,5972.533333333334,0.0,33.0,0.0,99.0,0.0,0.0,106.2
85,238.65,23.0,2.5,3991.285714285714,92.0,0.0,28.6,0.0,135.2,90.0,0.0
86,1069.84,20.0,2.5,9939.23076923077,115.0,15.6,0.0,115.44,0.0,0.0,108.0
87,1088.29,16.0,2.5,8619.411764705883,138.0,15.6,0.0,115.44,0.0,0.0,108.0
88,593.5,22.0,2.5,7023.560209424084,126.5,0.0,22.0,0.0,104.0,0.0,120.0
89,361.95,14.0,2.5,4494.579439252337,127.88,0.0,22.0,0.0,104.0,0.0,120.0
90,389.23,15.0,2.5,4455.333333333333,128.8,0.0,22.0,0.0,104.0,0.0,120.0
91,2634.56,46.0,2.5,4699.090909090909,124.2,0.0,25.3,0.0,119.6,0.0,120.0
92,536.26,18.0,2.5,6549.430894308943,128.8,0.0,24.2,0.0,114.4,0.0,120.0
93,788.37,15.0,2.5,6563.369565217391,55.2,0.0,26.4,0.0,124.8,0.0,0.0
94,755.18,15.0,2.5,5513.484848484848,55.2,0.0,26.4,0.0,124.8,0.0,0.0
95,750.63,10.0,2.5,6532.359550561798,92.0,15.0,0.0,90.0,0.0,30.0,102.0
96,854.15,14.0,2.5,7361.186440677966,92.0,15.0,0.0,90.0,0.0,30.0,90.0
97,814.24,14.0,2.5,6310.833333333333,92.0,13.3,0.0,79.8,0.0,26.6,99.0
98,-469.06,13.0,2.5,4554.6875,0.0,54.0,27.5,0.0,130.0,0.0,120.0
99,-714.94,11.0,2.5,4720.0,0.0,54.0,0.0,0.0,0.0,0.0,120.0
100,-679.61,12.0,2.5,5190.5,0.0,54.0,0.0,0.0,0.0,0.0,120.0
101,-619.52,15.0,2.5,5149.032258064516,0.0,54.0,0.0,0.0,0.0,0.0,120.0
102,-708.67,15.0,2.5,3658.707482993197,0.0,0.0,22.0,0.0,104.0,0.0,0.0
103,910.12,17.0,2.5,2904.9333333333334,92.0,0.0,22.33,0.0,105.56,0.0,120.0
104,1076.07,18.0,2.5,6827.5,92.0,0.0,24.53,0.0,115.96,0.0,120.0
105,1060.16,17.0,2.5,6970.333333333333,92.0,0.0,24.53,0.0,115.96,0.0,120.0
106,349.85,14.0,2.5,7955.7,55.2,60.0,0.0,0.0,0.0,60.0,48.0
107,488.41,18.0,2.5,8902.285714285714,55.2,66.0,0.0,0.0,0.0,66.0,48.0
108,462.26,20.0,2.5,7622.285714285715,55.2,60.0,0.0,0.0,0.0,60.0,48.0
109,334.79,21.0,2.5,6999.6,0.0,55.55,45.32,81.4,3.64,0.0,112.2
110,352.49,25.0,2.5,4735.714285714285,0.0,55.55,45.32,81.4,3.64,0.0,123.6
111,358.37,21.0,2.5,3013.333333333333,0.0,62.3,51.63,81.4,1.56,0.0,125.4
112,375.07,21.0,2.5,3551.1428571428573,0.0,62.3,51.63,81.4,1.56,0.0,124.8
113,300.12,25.0,2.5,2687.872340425532,0.0,58.55,44.88,103.6,1.56,0.0,118.8
114,275.9,25.0,2.5,2283.913043478261,0.0,55.55,45.32,81.4,3.64,0.0,125.4
115,735.25,13.0,2.5,6178.769230769231,161.0,0.0,25.3,0.0,119.6,0.0,132.0
116,555.93,15.0,2.5,6447.166666666667,69.0,0.0,31.5,0.0,0.0,0.0,0.0
