,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Macrozone,N_Total_kg_per_Ha,P_Total_kg_per_Ha,K_Total_kg_per_Ha,Yield_to_CO2_Ratio
256,M2V2129,-1145.98,8.0,3.6,3139.813664596273,20,62.1,0.0,181.2,-2.739850315534541
257,M6V21109,-0.97,15.0,2.5,4335.5,17,92.0,0.0,0.0,-4469.587628865979
258,M6V2191,-337.4,15.0,3.1,3630.857142857143,17,128.0,63.0,150.0,-10.761283766618682
259,M8V2161,-1035.15,15.0,5.38,6741.676646706587,21,153.0,114.4,78.0,-6.512753365895365
260,M8V2162,-1092.21,13.0,5.38,6482.275449101797,21,153.0,114.4,81.0,-5.935008330908705
261,M8V2163,-427.99,15.0,3.75,3372.6890756302523,21,153.0,114.4,81.0,-7.880298781817921
262,M6I21179,-610.22,15.0,2.7,2776.6666666666665,15,112.0,86.4,78.0,-4.550271486786186
263,M6I21180,-81.29,15.0,2.66,2940.0,15,128.0,86.4,36.0,-36.166810185754706
264,M7I2192,-113.13,15.0,2.8,2760.00702247191,22,44.1,0.0,120.0,-24.39677382190321
265,M6I21190,-648.15,18.0,4.16,3116.176470588235,22,167.0,0.0,50.0,-4.807801389475022
266,M6I21197,-239.89,15.0,2.597850968320494,2592.0481927710844,17,92.0,0.0,0.0,-10.805153165080181
267,M6I21200,-312.82,19.0,2.93,3726.0,22,92.0,0.0,0.0,-11.911003132792022
268,M6I21202,-522.49,18.0,4.25,3417.6153846153848,22,92.0,0.0,0.0,-6.541015875165812
