,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Hybrid,Planned_Yield_kg_per_ha
189,M6I2084,15.0,2.5,8870.0,228.34,100.88,97.8,DKB255PRO3,6100.0
190,M6I2085,10.0,2.5,10769.454545454546,185.2,120.0,130.0,AG1051,9200.0
191,M6I2087,19.0,2.5,7521.25,197.9,109.2,69.0,DKB255PRO3,6100.0
192,M6I2099,18.0,2.5,7253.0,213.3,182.0,75.0,DKB255PRO3,6100.0
193,M6I20100,17.0,2.5,10580.588235294115,209.3,119.6,120.0,DKB177PRO3,5700.0
194,M6I20101,14.0,2.5,11482.658227848102,209.3,119.6,120.0,DKB177PRO3,5700.0
195,M6I20102,12.0,2.5,9292.307692307691,209.3,119.6,120.0,DKB177PRO3,5700.0
196,M7I2019,24.0,2.5,6757.086614173229,200.28,76.96,103.2,AS1868PRO3,5200.0
197,M7I2020,24.0,2.5,6328.676470588235,200.28,76.96,105.0,AS1868PRO3,5600.0
198,M7I2021,24.0,2.5,7115.833333333333,203.57999999999998,92.56,103.2,AS1868PRO3,5600.0
199,M7I2022,24.0,2.5,7462.317073170731,199.18,71.76,103.2,AS1868PRO3,5600.0
200,M7I2079,21.0,2.5,7727.701149425287,199.18,71.76,82.2,3700RR2,7100.0
201,M7I2080,23.0,2.5,8327.8,200.17000000000002,76.44,100.2,3700RR2,6300.0
202,M2I2005,10.0,2.5,7509.6,155.7,0.0,120.0,3700RR2,7300.0
203,M2I2006,15.0,2.5,7468.571428571428,124.2,0.0,132.0,3700RR2,6700.0
204,M2I2007,10.0,2.5,5949.333333333333,155.7,0.0,120.0,3700RR2,7300.0
205,M2I2013,10.0,2.5,8927.565217391304,31.5,0.0,120.0,3700RR2,7300.0
206,M6I2073,22.0,2.5,7112.815533980583,206.0,104.0,102.0,AG8480PRO3,5400.0
207,M6I2074,18.0,2.5,8368.155339805826,206.0,104.0,105.0,AG8480PRO3,5100.0
208,M6I2076,19.0,2.5,3772.127659574468,212.6,135.2,132.0,AG8480PRO3,5400.0
209,M6I2001,14.0,2.5,8632.333333333334,109.8,101.2,0.0,AS1820PRO3,6200.0
210,M6I2002,14.0,2.5,7972.0,202.0,110.0,0.0,AS1820PRO3,6200.0
211,M6I2077,15.0,2.5,8078.8,199.8,101.2,0.0,AS1820PRO3,6200.0
212,M6I2078,13.0,2.5,9496.0,109.8,101.2,0.0,AS1820PRO3,6200.0
213,M6I20114,22.0,2.5,4527.25,285.8,0.0,114.0,AS1666PRO3,3300.0
214,M7I2047,23.0,2.5,4091.84,185.6,108.0,122.0,DKB240PRO3,4500.0
215,M7I2048,19.0,2.5,6277.76,224.0,108.0,122.0,DKB360PRO3,6000.0
216,M7I2049,24.0,2.5,6291.6,224.0,108.0,122.0,DKB360PRO3,6000.0
217,M7I2050,24.0,2.5,6391.44,250.0,108.0,122.0,DKB360PRO3,6000.0
218,M7I2051,22.0,2.5,8513.84,204.0,108.0,122.0,DKB360PRO3,5900.0
219,M2I2039,19.0,2.5,7780.261437908497,141.4,124.8,132.0,AG8480PRO3,6500.0
220,M7I2066,21.0,2.5,8623.225806451614,201.6,83.2,100.2,AS1666PRO3,3300.0
221,M7I2067,15.0,2.5,10497.584745762711,200.28,76.96,100.2,AS1666PRO3,3300.0
222,M6I20121,18.0,2.5,7712.051282051282,162.275,1.3,115.8,AG8700PRO3,6000.0
223,M6I20122,15.0,2.5,6163.571428571428,191.675,113.3,115.8,AG8700PRO3,6000.0
224,M6I20123,16.0,2.5,6139.166666666667,192.2,127.6,115.8,AG8700PRO3,6000.0
225,M6I20124,20.0,2.5,7598.818181818182,162.0,0.0,115.8,AG8700PRO3,6000.0
226,M6I20125,8.0,2.5,6052.8,154.4,255.2,0.0,AG8700PRO3,5600.0
227,M6I20126,16.0,2.5,6679.238095238095,199.4,112.0,115.8,AG8700PRO3,6000.0
228,M6I20127,22.0,2.5,7915.142857142857,177.0,0.0,115.8,AG8700PRO3,6000.0
229,M7I2087,24.0,2.5,7722.0,171.5,73.5,96.0,DKB360PRO3,5900.0
230,M7I2090,21.0,2.5,6595.576923076923,171.5,73.5,96.0,AG9030PRO3,5700.0
231,M6I20164,14.0,2.5,5946.145833333333,104.86,86.64,77.07,AS1666PRO3,3300.0
232,M2I2041,17.0,2.5,3980.8547008547007,172.0,0.0,80.0,AG8700PRO3,5500.0
233,M2I2042,22.0,2.5,4981.4,146.0,0.0,133.8,AG8700PRO3,5800.0
234,M2I2043,15.0,2.5,4029.2473118279568,172.0,0.0,80.0,AG8700PRO3,10000.0
235,M2I2044,15.0,2.5,4163.870967741936,172.0,0.0,80.0,AG8700PRO3,5000.0
236,M7I2093,24.0,2.5,3058.333333333333,210.84,126.88,105.0,AS1633PRO3,4000.0
237,M7I2094,21.0,2.5,2771.078431372549,215.24,147.68,120.0,AS1633PRO3,3600.0
238,M7I2095,22.0,2.5,3144.879518072289,216.34,152.88000000000002,120.0,AS1633PRO3,4100.0
239,M7I2096,26.0,2.5,2507.4,198.94,109.38,120.0,AS1633PRO3,4100.0
240,M7I2097,22.0,2.5,2162.8571428571427,215.24,147.68,120.0,AS1633PRO3,3600.0
241,M2I2045,8.0,2.5,5387.460317460317,186.3,0.0,120.0,AS1820PRO3,6100.0
242,M6I20135,15.0,2.5,7557.058823529412,200.2,119.88,132.0,DKB335PRO3,5300.0
243,M7I2091,20.0,2.5,6034.857142857143,201.16,81.12,80.4,AS1666PRO3,3300.0
244,M7I2092,20.0,2.5,7116.666666666667,200.72,79.04,96.0,AS1666PRO3,3300.0
245,M7I2084,20.0,2.5,2645.266666666667,216.34,152.88000000000002,120.0,AS1633PRO3,4100.0
246,M7I2085,19.0,2.5,2991.969696969697,215.24,147.68,120.0,AS1633PRO3,4000.0
247,M7I2086,23.0,2.5,2490.851063829787,206.44,106.08,105.0,AS1633PRO3,4000.0
248,M6I20141,15.0,2.5,5822.153846153846,0.0,0.0,120.0,AG8061PRO2,3800.0
249,M6I20147,12.0,2.5,11270.5,161.0,120.0,122.0,AG1051,9200.0
250,M6I20156,15.0,2.5,5327.111111111111,25.3,119.6,0.0,AG8480PRO3,5400.0
251,M6I20177,9.0,2.5,10953.25,185.2,120.0,70.0,AG1051,9200.0
252,M6I20157,12.0,2.5,5955.416666666667,235.04000000000002,145.6,130.2,DKB335PRO3,5600.0
253,M6I20158,15.0,2.5,9202.135922330095,132.6,83.2,96.0,AS1666PRO3,3300.0
254,M6I20159,21.0,2.5,8292.0,212.6,135.2,90.0,AG8690PRO3,5300.0
255,M6I20161,16.0,2.5,7427.25,236.0,93.6,102.0,DKB265PRO3,4300.0
256,M6I20163,16.0,2.5,7566.5,220.3,143.6,152.0,DKB265PRO3,4200.0
257,M6I20160,15.0,2.5,6394.0,236.0,93.6,102.0,DKB265PRO3,4300.0
258,M2I2051,13.0,2.5,7467.254901960784,186.3,0.0,120.0,DKB255PRO3,6500.0
259,M6I20179,9.0,2.5,9647.333333333334,185.2,120.0,130.0,AG1051,9200.0
260,M7I2088,26.0,2.5,7742.875,171.5,73.5,96.0,DKB360PRO3,6000.0
261,M7I2089,26.0,2.5,6551.066666666667,172.0,77.0,192.0,DKB360PRO3,6000.0
262,M6I2130,12.0,2.5,4734.444444444444,208.2,114.4,0.0,DKB335PRO3,3600.0
263,M6I2172,12.0,2.72,4734.25,24.2,114.4,0.0,DKB335PRO3,4500.0
264,M7I21131,20.0,3.950561797752809,6921.797752808989,157.45,80.6,111.0,AS1820PRO3,6000.0
265,M7I2196,20.0,3.2,6345.0,137.53500000000003,77.22,109.98,AS1820PRO3,6000.0
266,M7I2198,22.0,3.4,5768.148148148148,97.878,79.976,98.16,AS1820PRO3,6000.0
267,M7I2199,23.0,3.0,5385.4098360655735,133.9,88.4,100.2,DKB360PRO3,4600.0
268,M7I2177,20.0,2.459999918937683,7526.341463414634,204.9,98.8,108.0,AS1822PRO3,6800.0
269,M7I2178,25.0,2.837500015894572,7687.6,111.8,93.6,108.0,AG8700PRO4,4100.0
270,M7I2179,20.0,3.4375,7526.354166666667,19.8,93.6,120.0,AS1822PRO3,6800.0
271,M6I2133,21.0,3.0125,1434.888888888889,244.5,286.0,0.0,DKB265PRO3,4200.0
272,M6I2173,13.0,2.230769230769231,5278.0,244.5,286.0,0.0,DKB335PRO3,4700.0
273,M6I2161,15.0,3.330000000000003,6480.0,213.7,140.4,138.0,AS1800PRO3,4800.0
274,M6I2142,21.0,2.9875,9095.272595544286,210.4,124.8,150.0,DKB360PRO3,5400.0
275,M6I2145,21.0,3.1,8130.11063011063,190.8,249.6,0.0,DKB360PRO3,5400.0
