,yield per ha,CO2/ha,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%
911,4349.313725490196,1426.97,0.0,0.0,11.0,0,52,0,0
921,4349.313725490196,1426.97,0.0,0.0,0.0,0,0,0,60
931,4349.313725490196,1426.97,46.0,0.0,0.0,0,0,0,0
941,4349.313725490196,1426.97,46.0,0.0,0.0,0,0,0,0
951,5116.571428571428,-1118.18,0.0,10.0,0.0,33,0,0,0
961,3283.1944444444443,-1069.08,0.0,10.0,0.0,33,0,0,0
971,5462.833333333333,-611.26,0.0,10.0,0.0,33,0,0,0
981,5368.96,-562.59,0.0,10.0,0.0,33,0,0,0
991,3305.769230769231,124.6,0.0,13.5,13.5,0,0,0,0
1001,3305.769230769231,124.6,0.0,0.0,11.0,0,52,0,0
1021,5806.785714285715,827.28,0.0,13.5,13.5,0,0,0,0
1031,3375.3571428571427,-37.64,0.0,13.5,13.5,0,0,0,0
1041,3923.777777777778,58.13,0.0,13.5,13.5,0,0,0,0
1051,2414.3809523809523,456.65,0.0,0.0,21.0,0,0,0,0
1061,2414.3809523809523,456.65,0.0,0.0,11.0,0,52,0,0
1071,2414.3809523809523,456.65,0.0,0.0,0.0,0,0,0,60
1081,2414.3809523809523,456.65,46.0,0.0,0.0,0,0,0,0
1091,2586.5,585.01,0.0,0.0,21.0,0,0,0,0
1101,2586.5,585.01,0.0,0.0,0.0,0,0,0,60
1111,2586.5,585.01,46.0,0.0,0.0,0,0,0,0
1121,959.2307692307693,158.27,0.0,0.0,21.0,0,0,0,0
1131,959.2307692307693,158.27,0.0,0.0,0.0,0,0,0,60
1141,959.2307692307693,158.27,46.0,0.0,0.0,0,0,0,0
1151,1745.2083333333333,312.2,0.0,0.0,21.0,0,0,0,0
1161,1745.2083333333333,312.2,0.0,0.0,0.0,0,0,0,60
1171,1745.2083333333333,312.2,46.0,0.0,0.0,0,0,0,0
1181,900.0,821.49,0.0,0.0,21.0,0,0,0,0
1191,900.0,821.49,0.0,0.0,0.0,0,0,0,60
1201,900.0,821.49,46.0,0.0,0.0,0,0,0,0
1211,1893.6538461538462,550.49,0.0,0.0,21.0,0,0,0,0
1221,1893.6538461538462,550.49,0.0,0.0,0.0,0,0,0,60
1231,1893.6538461538462,550.49,46.0,0.0,0.0,0,0,0,0
1241,4462.686567164179,647.47,0.0,9.0,0.0,44,0,0,0
1251,4462.686567164179,647.47,0.0,0.0,11.0,0,52,0,0
1261,4462.686567164179,647.47,0.0,0.0,11.0,0,52,0,0
1271,4462.686567164179,647.47,0.0,0.0,11.0,0,52,0,0
1281,4462.686567164179,647.47,0.0,0.0,0.0,0,0,0,60
1291,4462.686567164179,647.47,46.0,0.0,0.0,0,0,0,0
1301,4462.686567164179,647.47,46.0,0.0,0.0,0,0,0,0
1311,3909.2819614711034,-370.11,0.0,9.0,0.0,44,0,0,0
1321,3909.2819614711034,-370.11,0.0,0.0,11.0,0,52,0,0
1331,3909.2819614711034,-370.11,0.0,0.0,11.0,0,52,0,0
1341,3909.2819614711034,-370.11,0.0,0.0,0.0,0,0,0,60
1351,3909.2819614711034,-370.11,46.0,0.0,0.0,0,0,0,0
1361,2754.081632653061,-653.39,0.0,0.0,11.0,0,52,0,0
1371,3549.423076923077,575.44,0.0,4.0,0.0,30,0,16,0
1381,3549.423076923077,575.44,0.0,0.0,0.0,0,0,0,60
1391,3549.423076923077,575.44,46.0,0.0,0.0,0,0,0,0
1401,2078.5365853658536,920.28,0.0,0.0,11.0,0,52,0,0
1411,2078.5365853658536,920.28,0.0,0.0,0.0,0,0,0,60
1421,2078.5365853658536,920.28,46.0,0.0,0.0,0,0,0,0
1431,2146.3953488372094,922.04,0.0,0.0,11.0,0,52,0,0
1441,2146.3953488372094,922.04,0.0,0.0,0.0,0,0,0,60
1451,2146.3953488372094,922.04,46.0,0.0,0.0,0,0,0,0
1461,5074.878048780488,917.31,46.0,0.0,0.0,0,0,0,0
1471,3308.181818181818,152.32,0.0,0.0,11.0,0,52,0,0
1481,3308.181818181818,152.32,46.0,0.0,0.0,0,0,0,0
1491,3263.0,-841.28,0.0,0.0,0.0,0,0,0,60
1501,1846.0,791.93,0.0,8.0,0.0,24,0,12,0
1511,1846.0,791.93,0.0,0.0,0.0,0,0,0,60
1521,1846.0,791.93,46.0,0.0,0.0,0,0,0,0
1531,3111.2,1052.09,0.0,8.0,0.0,24,0,12,0
1541,3111.2,1052.09,0.0,0.0,0.0,0,0,0,60
1551,3111.2,1052.09,0.0,0.0,0.0,0,0,0,60
1561,3111.2,1052.09,46.0,0.0,0.0,0,0,0,0
1571,1664.421052631579,3214.68,0.0,0.0,11.0,0,52,0,0
1581,1664.421052631579,3214.68,0.0,0.0,11.0,0,52,0,0
1591,1664.421052631579,3214.68,0.0,0.0,0.0,0,0,0,60
1601,1664.421052631579,3214.68,46.0,0.0,0.0,0,0,0,0
1611,1664.421052631579,3214.68,46.0,0.0,0.0,0,0,0,0
1621,1664.421052631579,3214.68,46.0,0.0,0.0,0,0,0,0
1661,3896.5,280.04,0.0,0.0,11.0,0,52,0,0
1671,3896.5,280.04,0.0,0.0,0.0,0,0,0,60
1691,3576.0,286.06,0.0,0.0,11.0,0,52,0,0
1701,3576.0,286.06,0.0,0.0,0.0,0,0,0,60
1721,3100.0,1077.33,0.0,0.0,11.0,0,52,0,0
1731,3100.0,1077.33,0.0,0.0,0.0,0,0,0,60
1751,4442.5,1258.23,0.0,0.0,11.0,0,52,0,0
