,farm_identifier,pesticides_applications,N_kg_per_Ha,P_kg_per_Ha,K_kg_per_Ha,irrigation_power_source,irrigation_pumping_depth,irrigation_pumping_distance,water_applied_mm,field_size_Ha,product_fresh_kg,product_finished_kg,yield_kg_per_Ha,soil_organic_matter,CO2_kg_per_Ha,yield_CO2_ratio
44,467,26,220.88,154.4,0.0,Diesel,80.0,15.0,0.08,82.0,357546.824,865270,4360.32712195122,2.885,1946.12,2.2405232575335643
45,470,6,163.2,0.0,0.0,Diesel,100.0,5.0,0.1,80.3,530859.0,1538520,6610.946450809464,5.9,-2570.0,-2.572352704595122
46,472,26,220.88,154.4,0.0,Diesel,80.0,15.0,0.08,89.4,196018.9511,517060,2192.6057170022373,4.325,-976.88,-2.2444985228505416
47,474,39,206.88,166.4,0.0,Diesel,80.0,13.3333333333333,0.08,206.22,677800.0,1552820,3286.7811075550385,4.304,-696.86,-4.716558717037911
48,494,14,194.88,0.0,0.0,Diesel,70.0,7.5,0.07,96.0,309138.0,945990,3220.1875,2.84,-183.91,-17.509583491925397
49,497,14,194.88,0.0,0.0,Diesel,80.0,5.0,0.08,89.3,308813.0,699220,3458.152295632699,3.87,1712.44,2.0194297584923846
50,498,14,194.88,0.0,0.0,Diesel,95.0,20.0,0.095,140.0,356798.01,1668420,2548.5572142857145,,1683.48,1.5138624838345063
51,499,39,206.88,166.4,0.0,Diesel,80.0,9.0,0.08,172.5,490552.164,1205460,2843.780660869565,2.8,274.54,10.358347274967453
52,502,7,194.88,0.0,0.0,Diesel,90.0,25.0,0.09,37.2,152060.0,326780,4087.6344086021504,,1575.88,2.593874158312911
53,503,5,58.6,78.2,0.0,Diesel,80.0,45.0,0.08,67.6,296840.0,680040,4391.12426035503,5.9,-3032.06,-1.448231321397014
