,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
77,M2I2012,-534.9,17.0,2.5,8712.521739130434,26.0,119.6,120.0
78,M6I20174,-623.14,15.0,2.5,6688.068181818182,33.0,99.0,105.0
79,M6I2025,-59.9,15.0,2.5,7028.653846153846,206.0,78.0,90.0
80,M6I2026,-666.04,15.0,2.5,5214.333333333333,35.0,105.0,97.8
81,M6I2027,-621.57,15.0,2.5,6849.423076923077,33.0,99.0,96.0
82,M6I2028,-631.81,15.0,2.5,6524.180327868852,33.0,99.0,96.0
83,M6I2029,-649.24,15.0,2.5,7230.178571428572,33.0,99.0,0.0
84,M6I2030,-645.24,15.0,2.5,5972.533333333334,33.0,99.0,106.2
85,M6I20140,238.65,23.0,2.5,3991.285714285714,120.6,135.2,90.0
86,M7I2045,1069.84,20.0,2.5,9939.23076923077,199.6,115.44,108.0
87,M7I2098,1088.29,16.0,2.5,8619.411764705883,215.2,230.88,216.0
88,M7I2005,593.5,22.0,2.5,7023.560209424084,148.5,104.0,120.0
89,M7I2006,361.95,14.0,2.5,4494.579439252337,149.88,104.0,120.0
90,M7I2007,389.23,15.0,2.5,4455.333333333333,150.8,104.0,120.0
91,M7I2008,2634.56,46.0,2.5,4699.090909090909,299.0,239.2,240.0
92,M7I2009,536.26,18.0,2.5,6549.430894308943,153.0,114.4,120.0
93,M2I2024,788.37,15.0,2.5,6563.369565217391,192.00000000000003,124.8,0.0
94,M2I2047,755.18,15.0,2.5,5513.484848484848,192.00000000000003,124.8,0.0
95,M6I20115,750.63,10.0,2.5,6532.359550561798,199.0,90.0,132.0
96,M6I20116,854.15,14.0,2.5,7361.186440677966,199.0,90.0,120.0
97,M6I20117,814.24,14.0,2.5,6310.833333333333,197.3,79.8,125.6
98,M6I20103,-469.06,13.0,2.5,4554.6875,81.5,130.0,120.0
99,M6I20104,-714.94,11.0,2.5,4720.0,54.0,0.0,120.0
100,M6I20105,-679.61,12.0,2.5,5190.5,54.0,0.0,120.0
101,M6I20106,-619.52,15.0,2.5,5149.032258064516,54.0,0.0,120.0
102,M6I20129,-708.67,15.0,2.5,3658.707482993197,22.0,104.0,0.0
103,M7I2052,910.12,17.0,2.5,2904.9333333333334,206.66,107.12,120.0
104,M7I2053,1076.07,18.0,2.5,6827.5,208.86,117.52,120.0
105,M7I2054,1060.16,17.0,2.5,6970.333333333333,208.86,117.52,120.0
106,M2I2001,349.85,14.0,2.5,7955.7,170.4,0.0,108.0
107,M2I2002,488.41,18.0,2.5,8902.285714285714,176.4,0.0,114.0
108,M2I2003,462.26,20.0,2.5,7622.285714285715,170.4,0.0,108.0
109,M7I2040,334.79,21.0,2.5,6999.6,100.87,85.04,112.2
110,M7I2041,352.49,25.0,2.5,4735.714285714285,101.19999999999999,86.60000000000001,123.6
111,M7I2042,358.37,21.0,2.5,3013.333333333333,114.25999999999999,84.52000000000001,125.4
112,M7I2043,375.07,21.0,2.5,3551.1428571428573,114.25999999999999,84.52000000000001,124.8
113,M7I2044,300.12,25.0,2.5,2687.872340425532,103.75999999999999,106.72,118.8
114,M7I2046,275.9,25.0,2.5,2283.913043478261,101.19999999999999,86.60000000000001,125.4
115,M6I20111,735.25,13.0,2.5,6178.769230769231,186.3,119.6,132.0
116,M7I20100,555.93,15.0,2.5,6447.166666666667,169.5,0.0,0.0
117,M7I20101,536.12,13.0,2.5,7114.615384615385,169.5,0.0,0.0
118,M7I2058,675.28,15.0,2.5,10225.818181818182,169.5,0.0,0.0
119,M7I2059,620.22,16.0,2.5,7836.022727272727,169.5,0.0,0.0
120,M7I2060,602.91,16.0,2.5,7288.921568627451,169.5,0.0,0.0
121,M7I2061,564.37,13.0,2.5,8016.542056074766,169.5,0.0,0.0
122,M2I2025,950.38,20.0,2.5,8445.285714285714,274.6,119.6,132.0
123,M2I2026,46.64,17.0,2.5,7234.375,192.9,124.8,132.0
124,M2I2027,23.35,18.0,2.5,5850.181818181818,192.9,124.8,132.0
125,M6I20142,-153.03,15.0,2.5,7211.111111111111,96.5,56.0,128.0
126,M6I20143,-170.33,15.0,2.5,6667.222222222223,96.5,56.0,128.0
127,M6I20144,-125.84,15.0,2.5,8070.4,96.5,56.0,128.0
128,M6I20145,167.6,10.0,2.5,7160.8,137.0,56.0,128.0
129,M6I2059,-130.78,15.0,2.5,7914.827586206897,96.5,56.0,128.0
130,M6I2060,-124.07,15.0,2.5,8120.0,96.5,56.0,128.0
131,M6I2061,1961.23,11.0,2.5,8572.242804217725,312.7,56.0,128.0
132,M6I2062,761.95,9.0,2.5,9321.6,206.9,56.0,128.0
133,M6I2063,807.55,12.0,2.5,9471.111111111111,206.9,56.0,128.0
134,M6I2064,-133.61,15.0,2.5,7827.222222222223,96.5,56.0,128.0
135,M6I2065,-175.62,15.0,2.5,6494.736842105263,96.5,56.0,128.0
136,M6I2066,-276.05,8.0,2.5,7858.780487804878,96.5,56.0,128.0
137,M6I2067,-122.66,15.0,2.5,8167.5,96.5,56.0,128.0
138,M6I2018,61.97,15.0,2.5,7499.68,107.5,114.7,114.0
139,M6I2019,59.15,15.0,2.5,7410.72,107.5,114.7,114.0
140,M6I2020,1167.52,15.0,2.5,8659.25,218.65,163.8,120.0
141,M6I2021,796.11,9.0,2.5,8139.75,200.25,120.25,120.0
142,M6I2075,731.08,8.0,2.5,6956.631578947368,199.5,114.7,114.0
143,M6I20149,948.73,10.0,2.5,8805.4,224.0,120.0,138.0
144,M6I20150,980.97,15.0,2.5,6583.0,224.0,120.0,138.0
145,M7I2010,599.17,15.0,2.5,7691.6,160.0,104.0,180.0
146,M7I2011,609.35,16.0,2.5,8151.509433962264,160.0,104.0,120.0
147,M6I2031,13.72,14.0,2.5,4222.916666666667,116.2,114.4,0.0
148,M6I2032,-1.02,11.0,2.5,5948.166666666667,115.0,0.0,0.0
149,M6I2033,816.63,13.0,2.5,3638.769230769231,208.2,114.4,0.0
150,M6I2034,-228.0,13.0,2.5,5611.589743589743,85.4,0.0,0.0
151,M6I20170,-493.5,16.0,2.5,3926.5,108.8,110.4,85.2
152,M6I20165,811.5,11.0,2.5,7088.0,202.0,108.0,150.0
153,M6I20166,783.94,10.0,2.5,6863.368421052632,202.0,108.0,150.0
154,M6I20178,876.91,15.0,2.5,12122.0,186.65,127.8,139.8
155,M6I20180,557.01,15.0,2.5,2010.1333333333332,186.65,127.8,139.8
156,M6I20118,-289.27,14.0,2.5,6679.384615384615,115.3,119.6,120.0
157,M7I2055,271.42,13.0,2.5,7030.571428571428,138.0,0.0,0.0
158,M7I2056,243.16,12.0,2.5,6781.041666666667,138.0,0.0,0.0
159,M7I2057,371.45,18.0,2.5,6947.452830188679,138.0,0.0,0.0
160,M6I20108,876.85,16.0,2.5,6234.054054054054,199.0,111.0,132.0
