,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
63,0.0,0.0,0.0,M2I2141,2.4072639999999996,4485.6,-608.16,350,15
64,0.0,0.0,0.0,M2I2143,3.6045454632272738,4051.5263157894738,-574.98,350,16
65,1850.0,12950.0,1850.0,M2I2145,2.5,2108.2608695652175,1081.32,350,17
66,4160.0,0.0,4160.0,M2I2150,2.33,4778.367346938776,581.15,350,11
67,4160.0,0.0,4160.0,M2I2151,2.1,4260.0,22.05,350,15
68,2100.0,9660.0,0.0,M2V2001,2.96,2450.0,1497.96,450,31
69,2100.0,9660.0,0.0,M2V2002,2.7955555555555556,2763.78640776699,790.11,450,23
70,2100.0,9660.0,0.0,M2V2003,3.659375,1865.5128205128206,79.62,450,27
71,2600.0,11960.0,0.0,M2V2004,3.709375,2172.3376623376626,218.76,450,28
72,2100.0,9660.0,0.0,M2V2005,2.822916666666667,3411.0344827586205,905.01,450,24
73,2100.0,9660.0,0.0,M2V2006,2.697872340425532,2852.751677852349,988.22,450,34
74,0.0,0.0,0.0,M2V2011,2.5,3614.3333333333335,953.79,450,21
75,0.0,0.0,0.0,M2V2012,2.7,3464.4186046511627,797.78,450,20
76,0.0,0.0,0.0,M2V2013,2.5,3961.309523809524,786.2,450,23
77,0.0,0.0,0.0,M2V2014,2.5,3812.621951219512,657.14,450,14
78,0.0,0.0,0.0,M2V2015,2.8,1850.4736842105262,-590.36,450,15
79,0.0,0.0,0.0,M2V2016,2.5,2536.6463414634145,-271.76,450,17
80,0.0,0.0,0.0,M2V2017,2.5,3461.0810810810813,813.39,450,23
81,0.0,0.0,0.0,M2V2018,2.6,3779.8709677419356,950.49,450,23
82,0.0,0.0,0.0,M2V2019,2.9,1753.6134453781513,76.92,450,11
83,4224.0,0.0,1760.0,M2V2020,2.7,2494.7619047619046,261.41,450,10
84,0.0,0.0,0.0,M2V2023,2.5,3380.5555555555557,712.36,450,8
85,0.0,0.0,0.0,M2V2024,3.485483870967741,2965.3333333333335,-15.82,450,9
86,0.0,0.0,0.0,M2V2025,2.4,991.4634146341464,724.29,450,13
87,0.0,0.0,0.0,M2V2026,1.9755555555555557,2234.84375,1275.25,450,18
