,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha,Enter Latitude,Enter Longitude,Enter Avg Annual Temp (℃) - Optional,Enter Soil Organic Matter,Enter Soil pH,Yield_kg_per_ha,Enter # of Applications (Doses),Enter Pumping Depth (m),Enter Pumping Distance (m),Enter Total Water Applied,CO2_kg_per_Ha,Yield_to_CO2_ratio
57,0.0,0.0,0.0,24.560727,-107.538902,25.2,0.9,7.1,2564.46,3,0,0,750,4985.08,0.5144270503181494
58,182.4,0.0,0.0,24.697604,-107.834115,25.2,1.1,7.0,4056.41,6,6,5,500,2891.69,1.4027817642970026
59,249.0,16.0,30.0,25.872961,-108.85041,25.5,1.0,7.1,2401.0,9,6,5,600,3238.34,0.7414292507889845
60,0.0,0.0,0.0,24.61889,-107.551371,20.0,0.74,6.94,4186.74,6,0,0,750,4528.75,0.9244802649737786
61,0.0,0.0,0.0,24.725218,-107.784219,25.2,0.85,7.0,3399.7321428571427,6,0,0,750,2634.21,1.2906078645427443
62,0.0,0.0,0.0,24.669697,-107.807937,25.2,1.16,7.6,3498.4478571428567,6,0,0,750,2733.69,1.2797529555812315
63,0.0,0.0,0.0,24.621937,-107.538539,20.0,0.74,6.94,4651.529411764706,6,0,0,750,4540.5,1.0244531244939339
64,347.0,0.0,0.0,25.437516,-108.314143,24.7,1.7,7.3,2681.2732095490715,8,3,6,588,3771.38,0.7109528102575374
65,310.0,0.0,0.0,25.452719,-108.328671,24.7,1.54,6.87,4148.654468085107,7,3,0,750,4477.18,0.9266222193624349
66,328.0,0.0,0.0,25.837933,-108.873596,24.7,1.3,6.5,1435.4382071366406,6,3,0,750,4436.13,0.3235789318925822
67,0.0,0.0,0.0,24.579505,-107.550327,25.2,0.9,7.1,1821.9767441860465,6,0,0,750,4935.42,0.3691634641400421
68,297.5,67.5,67.5,25.781345,-109.044499,28.0,1.19,6.02,2150.542380952381,6,0,0,750,4620.16,0.4654692436955389
69,297.5,67.5,67.5,25.784347,-109.056959,28.0,1.19,6.02,2515.1428571428573,6,0,0,750,4624.47,0.5438769971786729
70,297.5,67.5,67.5,25.785596,-109.049606,28.0,1.19,6.02,3066.9860869565214,6,0,0,750,4634.07,0.661834216349024
71,0.0,0.0,0.0,24.659115,-107.801056,25.2,0.81,7.6,3226.8579999999997,6,0,0,750,2534.95,1.2729473954121382
72,0.0,0.0,0.0,24.577607,-107.571537,25.2,0.9,7.1,3905.239285714286,6,0,0,750,4971.25,0.785564855059449
