,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
72,0.0,0.0,12300.0,M4V2147,40,1.9209,2914.75,1522.96
73,22600.0,9984.0,11580.0,M4V2149,42,2.450136363636364,3373.809523809524,266.99
74,11150.0,12480.0,0.0,M4V2150,38.7,3.6284571428571426,4074.9354005167957,911.44
75,19350.0,0.0,8400.0,M4V2151,100,3.068792307692308,5603.1,-269.84
76,17800.0,9600.0,6900.0,M4V2152,59,2.9,1122.7118644067796,-527.09
77,3920.0,9520.0,0.0,M4V2153,223.6,2.3346938775510204,801.6100178890877,150.95
78,3920.0,9520.0,0.0,M4V2154,117.64,3.107407407407407,808.9085345120707,-356.27
79,5625.0,0.0,0.0,M4V2155,64,2.382758620689655,1434.53125,-242.63
80,2177.76,7622.160000000001,3266.6400000000003,M4V2156,90,2.5964285714285715,4217.444444444444,1296.0
81,1636.3200000000002,7363.4400000000005,1636.3200000000002,M4V2157,110,2.745945945945946,3014.0,1704.04
82,2086.56,7302.96,3129.84,M4V2158,115,2.371052631578947,2882.695652173913,931.08
83,1110.0,4995.0,1110.0,M4V2159,65,3.196551724137931,5395.076923076923,587.82
84,1740.0,7830.0,2900.0,M4V2160,50,2.0100000000000002,5373.0,1700.85
85,2193.28,7676.4800000000005,3289.92,M4V2161,38.3,2.4,3280.156657963447,1650.92
86,21175.0,8680.0,9080.0,M4V2162,24,2.3,4712.5,406.01
87,21940.0,8680.0,8480.0,M4V2163,25,2.4,4449.6,346.03
88,21960.0,8820.0,9360.0,M4V2164,44,1.8,4859.545454545455,779.56
89,23850.0,12600.0,11100.0,M4V2165,16,1.7,3353.75,710.23
90,22565.0,9455.0,9960.0,M4V2166,21.71,2.45,3145.5550437586367,201.1
91,21538.0,9016.0,8876.0,M4V2167,48,1.6,3773.75,830.19
92,3600.0,12600.0,5400.0,M4V2168,40,3.922118181818182,5715.0,-131.55
93,7000.0,0.0,0.0,M4V2169,160,2.809,2734.8125,802.7
94,7000.0,7000.0,0.0,M4V2170,72,2.7447368421052625,4618.194444444444,897.13
95,21715.0,8680.0,8480.0,M4V2171,30,2.1,4738.333333333333,499.34
96,2000.0,9000.0,0.0,M4V2175,99.86,0.38688888888888895,2688.36370919287,2381.35
97,3920.0,9520.0,0.0,M4V2176,60,2.3,397.8333333333333,134.33
98,10980.0,10120.0,0.0,M6I2001,120,2.5,4464.583333333333,-400.21
99,20200.0,11000.0,0.0,M6I2002,100,2.5,4412.5,-80.93
100,1800.0,9000.0,9600.0,M6I2009,90,2.5,3732.777777777778,724.51
101,1800.0,9000.0,9000.0,M6I2010,55,2.5,3919.2727272727275,502.1
102,5400.0,0.0,0.0,M6I20103,32,2.5,2226.875,-469.06
103,5400.0,0.0,0.0,M6I20104,72.5,2.5,2600.689655172414,-714.94
104,5400.0,0.0,0.0,M6I20105,40,2.5,2695.5,-679.61
105,5400.0,0.0,0.0,M6I20106,31,2.5,2625.1612903225805,-619.52
106,1500.0,11100.0,0.0,M6I20108,37,2.5,2494.864864864865,876.85
107,1500.0,11100.0,0.0,M6I20109,75,2.5,4044.266666666667,864.07
108,1800.0,9000.0,10200.0,M6I2011,50,2.5,4142.4,539.27
