,yield per ha,CO2/ha,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,Soil_pH
891,3055.8,1084.94,2.5,190.0,19,350,5.5
901,3055.8,1084.94,2.5,200.0,19,350,5.5
911,4349.313725490196,1426.97,2.3162500000000006,220.0,25,450,5.5
921,4349.313725490196,1426.97,2.3162500000000006,200.0,25,450,5.5
931,4349.313725490196,1426.97,2.3162500000000006,200.0,25,450,5.5
941,4349.313725490196,1426.97,2.3162500000000006,208.0,25,450,5.5
951,5116.571428571428,-1118.18,3.320000000000001,230.0,15,450,5.5
961,3283.1944444444443,-1069.08,3.05,230.0,15,450,5.5
971,5462.833333333333,-611.26,2.620000000000001,260.0,15,450,5.5
981,5368.96,-562.59,2.5842857142857145,235.0,15,450,5.5
991,3305.769230769231,124.6,2.5,275.0,14,350,5.5
1001,3305.769230769231,124.6,2.5,230.0,14,350,5.5
1021,5806.785714285715,827.28,2.575555555555556,275.0,10,450,5.5
1031,3375.3571428571427,-37.64,2.5,275.0,13,450,5.5
1041,3923.777777777778,58.13,2.47,275.0,15,450,5.5
1051,2414.3809523809523,456.65,2.5,250.0,20,450,5.5
1061,2414.3809523809523,456.65,2.5,3.0,20,450,5.5
1071,2414.3809523809523,456.65,2.5,150.0,20,450,5.5
1081,2414.3809523809523,456.65,2.5,200.0,20,450,5.5
1091,2586.5,585.01,2.3,250.0,18,450,5.5
1101,2586.5,585.01,2.3,150.0,18,450,5.5
1111,2586.5,585.01,2.3,200.0,18,450,5.5
1121,959.2307692307693,158.27,2.7,250.0,17,450,5.5
1131,959.2307692307693,158.27,2.7,150.0,17,450,5.5
1141,959.2307692307693,158.27,2.7,200.0,17,450,5.5
1151,1745.2083333333333,312.2,2.2,280.0,18,450,5.5
1161,1745.2083333333333,312.2,2.2,150.0,18,450,5.5
1171,1745.2083333333333,312.2,2.2,60.0,18,450,5.5
1181,900.0,821.49,1.9,250.0,21,450,5.5
1191,900.0,821.49,1.9,150.0,21,450,5.5
1201,900.0,821.49,1.9,200.0,21,450,5.5
1211,1893.6538461538462,550.49,2.2,250.0,15,450,5.5
1221,1893.6538461538462,550.49,2.2,150.0,15,450,5.5
1231,1893.6538461538462,550.49,2.2,200.0,15,450,5.5
1241,4462.686567164179,647.47,2.68,272.0,20,450,5.5
1251,4462.686567164179,647.47,2.68,5.0,20,450,5.5
1261,4462.686567164179,647.47,2.68,2.0,20,450,5.5
1271,4462.686567164179,647.47,2.68,3.0,20,450,5.5
1281,4462.686567164179,647.47,2.68,233.0,20,450,5.5
1291,4462.686567164179,647.47,2.68,120.0,20,450,5.5
1301,4462.686567164179,647.47,2.68,200.0,20,450,5.5
1311,3909.2819614711034,-370.11,2.68,272.0,14,450,5.5
1321,3909.2819614711034,-370.11,2.68,3.0,14,450,5.5
1331,3909.2819614711034,-370.11,2.68,5.0,14,450,5.5
1341,3909.2819614711034,-370.11,2.68,233.0,14,450,5.5
1351,3909.2819614711034,-370.11,2.68,100.0,14,450,5.5
1361,2754.081632653061,-653.39,2.5,150.0,15,350,5.5
1371,3549.423076923077,575.44,3.03695652173913,350.0,16,450,5.5
1381,3549.423076923077,575.44,3.03695652173913,200.0,16,450,5.5
1391,3549.423076923077,575.44,3.03695652173913,200.0,16,450,5.5
1401,2078.5365853658536,920.28,2.5,230.0,13,350,5.5
1411,2078.5365853658536,920.28,2.5,220.0,13,350,5.5
1421,2078.5365853658536,920.28,2.5,200.0,13,350,5.5
1431,2146.3953488372094,922.04,2.5,230.0,13,350,5.5
1441,2146.3953488372094,922.04,2.5,220.0,13,350,5.5
1451,2146.3953488372094,922.04,2.5,400.0,13,350,5.5
1461,5074.878048780488,917.31,2.4,200.0,14,450,5.5
1471,3308.181818181818,152.32,2.5,230.0,15,450,5.5
1481,3308.181818181818,152.32,2.5,200.0,15,450,5.5
1491,3263.0,-841.28,2.5,150.0,15,350,5.5
1501,1846.0,791.93,2.5,450.0,10,350,5.5
1511,1846.0,791.93,2.5,160.0,10,350,5.5
1521,1846.0,791.93,2.5,200.0,10,350,5.5
1531,3111.2,1052.09,2.5,450.0,16,350,5.5
1541,3111.2,1052.09,2.5,160.0,16,350,5.5
1551,3111.2,1052.09,2.5,200.0,16,350,5.5
1561,3111.2,1052.09,2.5,200.0,16,350,5.5
1571,1664.421052631579,3214.68,2.5,4.0,16,450,5.5
1581,1664.421052631579,3214.68,2.5,644.71,16,450,5.5
1591,1664.421052631579,3214.68,2.5,270.0,16,450,5.5
1601,1664.421052631579,3214.68,2.5,220.0,16,450,5.5
1611,1664.421052631579,3214.68,2.5,215.0,16,450,5.5
1621,1664.421052631579,3214.68,2.5,250.0,16,450,5.5
1661,3896.5,280.04,2.5,230.0,18,350,5.5
1671,3896.5,280.04,2.5,200.0,18,350,5.5
1691,3576.0,286.06,2.5,230.0,19,350,5.5
1701,3576.0,286.06,2.5,200.0,19,350,5.5
1721,3100.0,1077.33,2.5,230.0,15,350,5.5
1731,3100.0,1077.33,2.5,200.0,15,350,5.5
1751,4442.5,1258.23,2.5,230.0,21,350,5.5
1761,4442.5,1258.23,2.5,200.0,21,350,5.5
1781,3835.5555555555557,1109.83,2.5,230.0,16,350,5.5
1791,3835.5555555555557,1109.83,2.5,200.0,16,350,5.5
1811,3613.3333333333335,1058.22,2.5,230.0,13,350,5.5
1821,3613.3333333333335,1058.22,2.5,200.0,13,350,5.5
1841,2778.832116788321,-82.91,2.86,110.0,9,450,5.5
1851,2778.832116788321,-82.91,2.86,220.0,9,450,5.5
1861,2778.832116788321,-82.91,2.86,150.0,9,450,5.5
1871,4367.458482236704,-559.76,2.5,163.0,15,350,5.5
1881,4367.458482236704,-559.76,2.5,116.0,15,350,5.5
1891,4900.040855236279,-469.93,2.5,232.0,15,350,5.5
1901,4900.040855236279,-469.93,2.5,196.0,15,350,5.5
1911,4677.776605843265,-559.94,2.5,125.0,15,350,5.5
1921,4677.776605843265,-559.94,2.5,206.0,15,350,5.5
1931,3610.7745564690613,-576.1,2.5,144.0,15,350,5.5
1941,3610.7745564690613,-576.1,2.5,203.0,15,350,5.5
1951,5174.348697394789,167.25,2.5,188.46,15,350,5.5
1961,5174.348697394789,167.25,2.5,175.0,15,350,5.5
1971,5174.348697394789,167.25,2.5,190.0,15,350,5.5
1981,4983.862461765636,-517.03,2.5,186.53,15,350,5.5
1991,4983.862461765636,-517.03,2.5,186.0,15,350,5.5
2001,4856.646825396825,-492.96,2.5,217.0,15,350,5.5
2011,4856.646825396825,-492.96,2.5,138.0,15,350,5.5
2021,5222.068965517241,94.93,2.5,120.0,15,350,5.5
2031,5222.068965517241,94.93,2.5,140.0,15,350,5.5
2041,5222.068965517241,94.93,2.5,190.0,15,350,5.5
2051,5696.892138939671,147.03,2.5,120.0,15,350,5.5
2061,5696.892138939671,147.03,2.5,243.33,15,350,5.5
2071,5696.892138939671,147.03,2.5,190.0,15,350,5.5
2081,3796.03305785124,-598.51,2.5,200.0,15,350,5.5
2091,4414.311377245509,-563.55,2.5,200.0,15,350,5.5
2101,3461.0810810810813,813.39,2.5,120.0,23,450,5.5
2111,4189.333333333333,890.3,2.5,230.0,16,350,5.5
2121,4189.333333333333,890.3,2.5,200.0,16,350,5.5
2131,4189.333333333333,890.3,2.5,150.0,16,350,5.5
2141,4189.333333333333,890.3,2.5,200.0,16,350,5.5
2151,3646.823529411765,40.85,2.5,230.0,15,350,5.5
2161,3646.823529411765,40.85,2.5,200.0,15,350,5.5
2171,3646.823529411765,40.85,2.5,150.0,15,350,5.5
2201,2054.3529411764707,866.61,2.5,150.0,15,350,5.5
2211,2054.3529411764707,866.61,2.5,3.0,15,350,5.5
2221,2054.3529411764707,866.61,2.5,2.0,15,350,5.5
2231,2054.3529411764707,866.61,2.5,170.0,15,350,5.5
2241,2054.3529411764707,866.61,2.5,200.0,15,350,5.5
2251,2054.3529411764707,866.61,2.5,150.0,15,350,5.5
2261,2054.3529411764707,866.61,2.5,50.0,15,350,5.5
2271,2698.4745762711864,1129.61,2.5,150.0,19,350,5.5
2281,2698.4745762711864,1129.61,2.5,2.0,19,350,5.5
2291,2698.4745762711864,1129.61,2.5,185.0,19,350,5.5
2301,2698.4745762711864,1129.61,2.5,200.0,19,350,5.5
2311,2698.4745762711864,1129.61,2.5,30.0,19,350,5.5
2321,4224.0,1070.73,2.5,150.0,21,350,5.5
2331,4224.0,1070.73,2.5,2.0,21,350,5.5
2341,4224.0,1070.73,2.5,195.0,21,350,5.5
2351,4224.0,1070.73,2.5,200.0,21,350,5.5
2361,3306.0,1106.38,2.5,200.0,17,450,5.5
2371,3306.0,1106.38,2.5,200.0,17,450,5.5
2381,3306.0,1106.38,2.5,200.0,17,450,5.5
2391,1123.612740232789,950.98,2.5,230.0,21,350,5.5
2401,1123.612740232789,950.98,2.5,250.0,21,350,5.5
2411,1123.612740232789,950.98,2.5,150.0,21,350,5.5
2421,2386.2776877363585,1043.16,2.5,230.0,22,350,5.5
2431,2386.2776877363585,1043.16,2.5,200.0,22,350,5.5
2441,2535.405041370021,423.63,2.5,230.0,13,350,5.5
2451,2535.405041370021,423.63,2.5,100.0,13,350,5.5
2461,2535.405041370021,423.63,2.5,200.0,13,350,5.5
2471,2679.4318590435096,919.91,2.5,230.0,13,350,5.5
2481,2679.4318590435096,919.91,2.5,200.0,13,350,5.5
2491,2679.4318590435096,919.91,2.5,200.0,13,350,5.5
2501,2918.974358974359,870.74,2.5,200.0,20,350,5.5
2511,2918.974358974359,870.74,2.5,3.0,20,350,5.5
2521,2918.974358974359,870.74,2.5,200.0,20,350,5.5
2531,2918.974358974359,870.74,2.5,120.0,20,350,5.5
2541,3232.1428571428573,976.89,2.5,200.0,20,350,5.5
2551,3232.1428571428573,976.89,2.5,3.0,20,350,5.5
2561,3232.1428571428573,976.89,2.5,150.0,20,350,5.5
2571,3232.1428571428573,976.89,2.5,125.0,20,350,5.5
2581,3232.1428571428573,976.89,2.5,130.0,20,350,5.5
2591,4033.2075471698113,881.41,2.5,200.0,18,350,5.5
2601,4033.2075471698113,881.41,2.5,3.0,18,350,5.5
2611,4033.2075471698113,881.41,2.5,200.0,18,350,5.5
2621,4033.2075471698113,881.41,2.5,180.0,18,350,5.5
2631,4416.88,1255.56,2.5,210.0,25,450,5.5
2641,4416.88,1255.56,2.5,200.0,25,450,5.5
2651,4416.88,1255.56,2.5,130.0,25,450,5.5
2661,4351.727272727273,914.34,2.5,130.0,23,450,5.5
2671,3427.2727272727275,820.02,2.5,130.0,21,450,5.5
2681,2931.276595744681,689.96,2.5,130.0,15,450,5.5
2691,4662.738095238095,-194.42,2.5,130.0,18,450,5.5
2701,4016.076923076923,1248.87,2.5,210.0,26,450,5.5
2711,4016.076923076923,1248.87,2.5,200.0,26,450,5.5
2721,4016.076923076923,1248.87,2.5,130.0,26,450,5.5
2731,3829.1346153846152,-577.94,2.5,120.0,15,350,5.5
2741,3829.1346153846152,-577.94,2.5,200.0,15,350,5.5
2751,4292.692307692308,163.09,2.5,120.0,15,350,5.5
2761,4292.692307692308,163.09,2.5,200.0,15,350,5.5
2771,4292.692307692308,163.09,2.5,200.0,15,350,5.5
2781,4125.393258426966,496.51,2.5,120.0,15,350,5.5
2791,4125.393258426966,496.51,2.5,200.0,15,350,5.5
2801,4125.393258426966,496.51,2.5,200.0,15,350,5.5
2811,4125.393258426966,496.51,2.5,200.0,15,350,5.5
2821,3685.6190476190477,-493.88,4.5,160.0,13,450,5.5
2831,3685.6190476190477,-493.88,4.5,200.0,13,450,5.5
2841,3685.6190476190477,-493.88,4.5,200.0,13,450,5.5
2851,5446.666666666667,1135.37,2.5,150.0,16,450,5.5
2861,5446.666666666667,1135.37,2.5,200.0,16,450,5.5
2871,5446.666666666667,1135.37,2.5,200.0,16,450,5.5
2881,3197.3333333333335,-1146.97,4.5,200.0,23,450,5.5
2891,3197.3333333333335,-1146.97,4.5,200.0,23,450,5.5
2901,3197.3333333333335,-1146.97,4.5,200.0,23,450,5.5
2911,4785.333333333333,-665.73,4.8,150.0,15,450,5.5
2921,4785.333333333333,-665.73,4.8,200.0,15,450,5.5
2931,4785.333333333333,-665.73,4.8,200.0,15,450,5.5
2941,4104.833333333333,-1427.07,5.3,150.0,19,450,5.5
2951,4104.833333333333,-1427.07,5.3,180.0,19,450,5.5
2961,4104.833333333333,-1427.07,5.3,200.0,19,450,5.5
2971,3308.9166666666665,-1074.05,4.6,210.0,28,450,5.5
2981,3308.9166666666665,-1074.05,4.6,200.0,28,450,5.5
2991,3308.9166666666665,-1074.05,4.6,200.0,28,450,5.5
3001,4794.625,1102.21,2.5,160.0,20,350,5.5
3011,4794.625,1102.21,2.5,180.0,20,350,5.5
3021,4794.625,1102.21,2.5,200.0,20,350,5.5
3031,4817.906976744186,1018.44,2.5,160.0,16,350,5.5
3041,4817.906976744186,1018.44,2.5,170.0,16,350,5.5
3051,4817.906976744186,1018.44,2.5,200.0,16,350,5.5
3061,3685.222222222222,1009.29,2.5,200.0,16,350,5.5
3071,3685.222222222222,1009.29,2.5,200.0,16,350,5.5
3081,3685.222222222222,1009.29,2.5,205.0,16,350,5.5
3091,3685.222222222222,1009.29,2.5,200.0,16,350,5.5
3101,3783.0,961.43,2.5,220.0,13,350,5.5
3111,3783.0,961.43,2.5,180.0,13,350,5.5
