,yield per ha,CO2/ha,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,Soil_pH
4541,2788.101983002833,122.23,3.4,200.0,12,450,5.5
4551,2788.101983002833,122.23,3.4,60.0,12,450,5.5
4561,3455.367231638418,247.1,3.2,130.0,10,450,5.5
4571,3455.367231638418,247.1,3.2,200.0,10,450,5.5
4581,3455.367231638418,247.1,3.2,60.0,10,450,5.5
4591,3455.367231638418,247.1,3.2,150.0,10,450,5.5
4601,3214.2105263157896,-380.29,4.0,130.0,9,450,5.5
4611,3214.2105263157896,-380.29,4.0,60.0,9,450,5.5
4621,3214.2105263157896,-380.29,4.0,200.0,9,450,5.5
4631,3214.2105263157896,-380.29,4.0,150.0,9,450,5.5
4641,4127.46365105008,763.64,2.5,130.0,8,450,5.5
4651,4127.46365105008,763.64,2.5,200.0,8,450,5.5
4661,4127.46365105008,763.64,2.5,150.0,8,450,5.5
4671,4127.46365105008,763.64,2.5,60.0,8,450,5.5
4681,3290.3394255874678,742.03,2.5,130.0,10,450,5.5
4691,3290.3394255874678,742.03,2.5,150.0,10,450,5.5
4701,3290.3394255874678,742.03,2.5,200.0,10,450,5.5
4711,3290.3394255874678,742.03,2.5,60.0,10,450,5.5
4721,2536.6463414634145,-271.76,2.5,100.0,17,450,5.5
4731,2536.6463414634145,-271.76,2.5,135.0,17,450,5.5
4741,2415.3571428571427,-704.27,2.5,3.0,21,350,5.5
4751,2415.3571428571427,-704.27,2.5,1.0,21,350,5.5
4761,4377.4358974358975,-358.9,3.911538461538461,272.0,24,450,5.5
4771,4377.4358974358975,-358.9,3.911538461538461,200.0,24,450,5.5
4781,4377.4358974358975,-358.9,3.911538461538461,120.0,24,450,5.5
4791,4377.4358974358975,-358.9,3.911538461538461,170.0,24,450,5.5
4801,3544.74358974359,973.03,3.124137931034483,272.0,25,450,5.5
4811,3544.74358974359,973.03,3.124137931034483,2.0,25,450,5.5
4821,3544.74358974359,973.03,3.124137931034483,200.0,25,450,5.5
4831,3544.74358974359,973.03,3.124137931034483,120.0,25,450,5.5
4841,3544.74358974359,973.03,3.124137931034483,100.0,25,450,5.5
4851,3543.2051282051284,-551.39,3.832,272.0,24,450,5.5
4861,3543.2051282051284,-551.39,3.832,200.0,24,450,5.5
4871,3543.2051282051284,-551.39,3.832,120.0,24,450,5.5
4881,3943.076923076923,748.4,2.007894736842105,272.0,24,450,5.5
4891,3943.076923076923,748.4,2.007894736842105,200.0,24,450,5.5
4901,3943.076923076923,748.4,2.007894736842105,100.0,24,450,5.5
4911,3943.076923076923,748.4,2.007894736842105,120.0,24,450,5.5
4921,4960.0,1060.97,2.5,260.0,19,350,5.5
4931,4960.0,1060.97,2.5,200.0,19,350,5.5
4941,4960.0,1060.97,2.5,130.0,19,350,5.5
4951,4960.0,1060.97,2.5,140.0,19,350,5.5
4961,4477.614678899083,490.6,2.5,260.0,19,350,5.5
4971,4477.614678899083,490.6,2.5,200.0,19,350,5.5
4981,4477.614678899083,490.6,2.5,130.0,19,350,5.5
4991,4445.221238938053,-85.83,2.5,260.0,18,350,5.5
5001,4445.221238938053,-85.83,2.5,200.0,18,350,5.5
5011,4445.221238938053,-85.83,2.5,130.0,18,350,5.5
5021,4844.298245614035,-213.99,2.5,200.0,16,350,5.5
5031,4844.298245614035,-213.99,2.5,130.0,16,350,5.5
5041,5228.347826086957,-534.9,2.5,260.0,17,350,5.5
5051,5228.347826086957,-534.9,2.5,200.0,17,350,5.5
5061,2450.0,1497.96,2.96,210.0,31,450,6.083333333333332
5071,2450.0,1497.96,2.96,200.0,31,450,6.083333333333332
5081,2450.0,1497.96,2.96,120.0,31,450,6.083333333333332
5091,2450.0,1497.96,2.96,134.0,31,450,6.083333333333332
5101,2763.78640776699,790.11,2.795555555555556,210.0,23,450,5.033333333333332
5111,2763.78640776699,790.11,2.795555555555556,200.0,23,450,5.033333333333332
5121,2763.78640776699,790.11,2.795555555555556,20.0,23,450,5.033333333333332
5131,2763.78640776699,790.11,2.795555555555556,120.0,23,450,5.033333333333332
5151,1865.5128205128206,79.62,3.659375,210.0,27,450,5.143749999999998
5161,1865.5128205128206,79.62,3.659375,200.0,27,450,5.143749999999998
5171,1865.5128205128206,79.62,3.659375,120.0,27,450,5.143749999999998
5191,2172.3376623376626,218.76,3.709375,260.0,28,450,5.80625
5201,2172.3376623376626,218.76,3.709375,200.0,28,450,5.80625
5211,2172.3376623376626,218.76,3.709375,120.0,28,450,5.80625
5231,3411.0344827586205,905.01,2.822916666666667,210.0,24,450,5.702083333333333
5241,3411.0344827586205,905.01,2.822916666666667,200.0,24,450,5.702083333333333
5251,3411.0344827586205,905.01,2.822916666666667,120.0,24,450,5.702083333333333
5261,3411.0344827586205,905.01,2.822916666666667,20.0,24,450,5.702083333333333
5281,2852.751677852349,988.22,2.697872340425532,210.0,34,450,5.080851063829789
5291,2852.751677852349,988.22,2.697872340425532,200.0,34,450,5.080851063829789
5301,2852.751677852349,988.22,2.697872340425532,120.0,34,450,5.080851063829789
5321,3452.3863636363635,-623.14,2.5,330.0,15,350,5.5
5331,3452.3863636363635,-623.14,2.5,175.0,15,350,5.5
5341,3364.6153846153848,-59.9,2.5,150.0,15,350,5.5
5351,3364.6153846153848,-59.9,2.5,260.0,15,350,5.5
5361,3364.6153846153848,-59.9,2.5,200.0,15,350,5.5
5371,2826.6666666666665,-666.04,2.5,350.0,15,350,5.5
5381,2826.6666666666665,-666.04,2.5,163.0,15,350,5.5
5391,3543.846153846154,-621.57,2.5,330.0,15,350,5.5
5401,3543.846153846154,-621.57,2.5,160.0,15,350,5.5
5411,3157.7049180327867,-631.81,2.5,330.0,15,350,5.5
5421,3157.7049180327867,-631.81,2.5,160.0,15,350,5.5
5431,3660.714285714286,-649.24,2.5,330.0,15,350,5.5
5441,3166.0,-645.24,2.5,330.0,15,350,5.5
5451,3166.0,-645.24,2.5,177.0,15,350,5.5
5461,2351.5555555555557,649.19,2.63,200.0,15,450,5.5
5471,2351.5555555555557,649.19,2.63,200.0,15,450,5.5
5481,3188.269230769231,674.23,2.6480952380952383,200.0,15,450,5.5
5491,3188.269230769231,674.23,2.6480952380952383,200.0,15,450,5.5
5501,2461.772151898734,-1225.34,3.896808510638298,200.0,9,450,5.5
5511,2461.772151898734,-1225.34,3.896808510638298,200.0,9,450,5.5
5521,4103.9655172413795,-1563.34,3.537352933705884,200.0,8,450,5.5
5531,4607.333333333333,56.49,2.9929411764705884,200.0,15,450,5.5
5541,4607.333333333333,56.49,2.9929411764705884,200.0,15,450,5.5
5551,4607.333333333333,56.49,2.9929411764705884,100.0,15,450,5.5
5561,3625.135135135135,1184.99,2.11,250.0,9,450,5.5
5571,3625.135135135135,1184.99,2.11,200.0,9,450,5.5
5581,3625.135135135135,1184.99,2.11,200.0,9,450,5.5
5591,3625.135135135135,1184.99,2.11,180.0,9,450,5.5
5601,4447.5675675675675,-208.48,2.11,200.0,15,450,5.5
5611,4447.5675675675675,-208.48,2.11,240.0,15,450,5.5
5621,4180.9876543209875,233.08,1.98,180.0,15,450,5.5
5631,4180.9876543209875,233.08,1.98,250.0,15,450,5.5
5641,4180.9876543209875,233.08,1.98,200.0,15,450,5.5
5651,4938.780487804878,44.18,1.98,250.0,15,450,5.5
5661,4938.780487804878,44.18,1.98,200.0,15,450,5.5
5671,4937.333333333333,-558.69,4.8,270.0,10,450,5.5
5681,4937.333333333333,-558.69,4.8,100.0,10,450,5.5
5691,4937.333333333333,-558.69,4.8,180.0,10,450,5.5
5701,4631.818181818182,-689.42,4.0,275.0,14,450,5.5
5711,4631.818181818182,-689.42,4.0,100.0,14,450,5.5
5721,4631.818181818182,-689.42,4.0,180.0,14,450,5.5
5731,4561.25,-679.33,3.3,180.0,12,450,5.5
5741,1858.6363636363637,-624.06,3.41,280.0,8,450,5.5
5751,1858.6363636363637,-624.06,3.41,100.0,8,450,5.5
5761,1858.6363636363637,-624.06,3.41,160.0,8,450,5.5
5771,1828.0,238.65,2.5,150.0,23,350,5.5
5781,1828.0,238.65,2.5,260.0,23,350,5.5
5791,1828.0,238.65,2.5,200.0,23,350,5.5
5801,3654.75,495.01,2.91,210.0,15,450,5.5
5811,3654.75,495.01,2.91,200.0,15,450,5.5
5821,3614.3333333333335,953.79,2.5,135.0,21,450,5.5
5831,3464.4186046511627,797.78,2.7,135.0,20,450,5.5
5841,5816.346153846154,1069.84,2.5,312.0,20,350,5.5
5851,5816.346153846154,1069.84,2.5,180.0,20,350,5.5
5861,5816.346153846154,1069.84,2.5,150.0,20,350,5.5
5871,5816.346153846154,1069.84,2.5,100.0,20,350,5.5
5881,4171.764705882353,1088.29,2.5,312.0,16,350,5.5
5891,4171.764705882353,1088.29,2.5,180.0,16,350,5.5
5901,4171.764705882353,1088.29,2.5,200.0,16,350,5.5
5911,4171.764705882353,1088.29,2.5,100.0,16,350,5.5
5921,3343.246073298429,593.5,2.5,200.0,22,350,5.5
5931,3343.246073298429,593.5,2.5,200.0,22,350,5.5
5941,3343.246073298429,593.5,2.5,275.0,22,350,5.5
5951,1999.1588785046729,361.95,2.5,200.0,14,350,5.5
5961,1999.1588785046729,361.95,2.5,200.0,14,350,5.5
5971,1999.1588785046729,361.95,2.5,278.0,14,350,5.5
5981,2140.8333333333335,389.23,2.5,200.0,15,350,5.5
5991,2140.8333333333335,389.23,2.5,200.0,15,350,5.5
6001,2140.8333333333335,389.23,2.5,280.0,15,350,5.5
6011,2811.090909090909,2634.56,2.5,230.0,46,350,5.5
6021,2811.090909090909,2634.56,2.5,200.0,46,350,5.5
6031,2811.090909090909,2634.56,2.5,270.0,46,350,5.5
6041,2942.682926829268,536.26,2.5,220.0,18,350,5.5
6051,2942.682926829268,536.26,2.5,200.0,18,350,5.5
6061,2942.682926829268,536.26,2.5,280.0,18,350,5.5
6071,3511.413043478261,788.37,2.5,240.0,15,350,5.5
6081,3511.413043478261,788.37,2.5,120.0,15,350,5.5
6091,2860.3030303030305,755.18,2.5,240.0,15,350,5.5
6101,2860.3030303030305,755.18,2.5,120.0,15,350,5.5
6111,3961.309523809524,786.2,2.5,120.0,23,450,5.5
6121,6176.0,205.85,3.405,275.0,11,450,5.5
6131,5896.8,72.04,3.5666666666666678,275.0,14,450,5.5
6141,6322.222222222223,363.87,3.0591666666666666,275.0,10,450,5.5
6151,4753.053892215569,-62.67,2.5,105.0,19,450,5.5
6161,4753.053892215569,-62.67,2.5,135.0,19,450,5.5
6171,2234.84375,1275.25,1.975555555555556,166.0,18,450,5.5
6181,2234.84375,1275.25,1.975555555555556,133.0,18,450,5.5
6191,2234.84375,1275.25,1.975555555555556,135.0,18,450,5.5
6201,4166.615384615385,562.77,1.95,450.0,18,450,5.5
6211,4166.615384615385,562.77,1.95,184.6,18,450,5.5
6221,4952.2,-83.87,2.53,184.0,14,450,5.5
6231,3834.494382022472,750.63,2.5,300.0,10,350,5.5
6241,3834.494382022472,750.63,2.5,170.0,10,350,5.5
6251,3834.494382022472,750.63,2.5,200.0,10,350,5.5
6261,4153.220338983051,854.15,2.5,300.0,14,350,5.5
6271,4153.220338983051,854.15,2.5,150.0,14,350,5.5
6281,4153.220338983051,854.15,2.5,200.0,14,350,5.5
6291,3612.962962962963,814.24,2.5,266.0,14,350,5.5
6301,3612.962962962963,814.24,2.5,165.0,14,350,5.5
6311,3612.962962962963,814.24,2.5,200.0,14,350,5.5
6321,2226.875,-469.06,2.5,200.0,13,350,5.5
6331,2226.875,-469.06,2.5,250.0,13,350,5.5
6341,2226.875,-469.06,2.5,200.0,13,350,5.5
6351,2600.689655172414,-714.94,2.5,200.0,11,350,5.5
6361,2600.689655172414,-714.94,2.5,200.0,11,350,5.5
6371,2695.5,-679.61,2.5,200.0,12,350,5.5
6381,2695.5,-679.61,2.5,200.0,12,350,5.5
6391,2625.1612903225805,-619.52,2.5,200.0,15,350,5.5
6401,2625.1612903225805,-619.52,2.5,200.0,15,350,5.5
6411,1909.1156462585034,-708.67,2.5,200.0,15,350,5.5
6421,1805.4666666666667,910.12,2.5,200.0,17,350,5.5
6431,1805.4666666666667,910.12,2.5,3.0,17,350,5.5
6441,1805.4666666666667,910.12,2.5,200.0,17,350,5.5
6451,1805.4666666666667,910.12,2.5,200.0,17,350,5.5
6461,3460.8333333333335,1076.07,2.5,220.0,18,350,5.5
6471,3460.8333333333335,1076.07,2.5,3.0,18,350,5.5
6481,3460.8333333333335,1076.07,2.5,200.0,18,350,5.5
6491,3460.8333333333335,1076.07,2.5,200.0,18,350,5.5
6501,3525.5833333333335,1060.16,2.5,220.0,17,350,5.5
6511,3525.5833333333335,1060.16,2.5,3.0,17,350,5.5
6521,3525.5833333333335,1060.16,2.5,200.0,17,350,5.5
6531,3525.5833333333335,1060.16,2.5,200.0,17,350,5.5
6541,4786.9,349.85,2.5,300.0,14,350,5.5
6551,4786.9,349.85,2.5,80.0,14,350,5.5
6561,4786.9,349.85,2.5,120.0,14,350,5.5
6571,5234.476190476191,488.41,2.5,330.0,18,350,5.5
6581,5234.476190476191,488.41,2.5,80.0,18,350,5.5
6591,5234.476190476191,488.41,2.5,120.0,18,350,5.5
6601,4358.380952380952,462.26,2.5,300.0,20,350,5.5
6611,4358.380952380952,462.26,2.5,80.0,20,350,5.5
6621,4358.380952380952,462.26,2.5,120.0,20,350,5.5
6631,3546.0,334.79,2.5,220.0,21,350,5.5
6641,3546.0,334.79,2.5,330.0,21,350,5.5
6651,3546.0,334.79,2.5,4.0,21,350,5.5
6661,3546.0,334.79,2.5,3.0,21,350,5.5
6671,3546.0,334.79,2.5,187.0,21,350,5.5
6681,2173.214285714286,352.49,2.5,220.0,25,350,5.5
6691,2173.214285714286,352.49,2.5,330.0,25,350,5.5
6701,2173.214285714286,352.49,2.5,4.0,25,350,5.5
6711,2173.214285714286,352.49,2.5,3.0,25,350,5.5
6721,2173.214285714286,352.49,2.5,206.0,25,350,5.5
6731,986.6666666666666,358.37,2.5,220.0,21,350,5.5
6741,986.6666666666666,358.37,2.5,50.0,21,350,5.5
6751,986.6666666666666,358.37,2.5,330.0,21,350,5.5
6771,986.6666666666666,358.37,2.5,3.0,21,350,5.5
6781,986.6666666666666,358.37,2.5,209.0,21,350,5.5
6791,1495.4285714285713,375.07,2.5,220.0,21,350,5.5
6801,1495.4285714285713,375.07,2.5,330.0,21,350,5.5
6811,1495.4285714285713,375.07,2.5,50.0,21,350,5.5
6831,1495.4285714285713,375.07,2.5,3.0,21,350,5.5
6841,1495.4285714285713,375.07,2.5,208.0,21,350,5.5
6851,1485.531914893617,300.12,2.5,280.0,25,350,5.5
6861,1485.531914893617,300.12,2.5,330.0,25,350,5.5
6871,1485.531914893617,300.12,2.5,3.0,25,350,5.5
6891,1485.531914893617,300.12,2.5,198.0,25,350,5.5
6901,1156.9565217391305,275.9,2.5,220.0,25,350,5.5
6911,1156.9565217391305,275.9,2.5,330.0,25,350,5.5
6921,1156.9565217391305,275.9,2.5,4.0,25,350,5.5
6931,1156.9565217391305,275.9,2.5,3.0,25,350,5.5
6941,1156.9565217391305,275.9,2.5,209.0,25,350,5.5
6951,3663.3333333333335,266.88,2.672,330.0,21,450,5.5
6961,3663.3333333333335,266.88,2.672,100.0,21,450,5.5
6971,3663.3333333333335,266.88,2.672,200.0,21,450,5.5
6981,2593.846153846154,-90.65,2.973170731707317,300.0,21,450,5.5
6991,2593.846153846154,-90.65,2.973170731707317,110.0,21,450,5.5
7001,2593.846153846154,-90.65,2.973170731707317,230.0,21,450,5.5
7011,4148.231292517007,364.96,2.5142857142857142,300.0,22,450,5.5
7021,4148.231292517007,364.96,2.5142857142857142,120.0,22,450,5.5
7031,4148.231292517007,364.96,2.5142857142857142,230.0,22,450,5.5
7041,3708.5227272727275,162.44,3.0808988764044942,115.0,21,450,5.5
7051,3708.5227272727275,162.44,3.0808988764044942,110.0,21,450,5.5
7061,3708.5227272727275,162.44,3.0808988764044942,230.0,21,450,5.5
7071,3708.5227272727275,162.44,3.0808988764044942,215.0,21,450,5.5
7081,1740.7692307692307,-46.05,2.85875,330.0,22,450,5.5
7091,1740.7692307692307,-46.05,2.85875,200.0,22,450,5.5
7101,3025.6923076923076,735.25,2.5,230.0,13,350,5.5
7111,3025.6923076923076,735.25,2.5,220.0,13,350,5.5
7121,3025.6923076923076,735.25,2.5,350.0,13,350,5.5
7131,4370.566037735849,955.36,3.3,230.0,15,450,5.5
7141,4370.566037735849,955.36,3.3,100.0,15,450,5.5
7151,4370.566037735849,955.36,3.3,400.0,15,450,5.5
7161,5355.567010309278,1747.49,2.0465306122448976,20.0,17,450,5.5
7171,5355.567010309278,1747.49,2.0465306122448976,5.0,17,450,5.5
7181,5355.567010309278,1747.49,2.0465306122448976,170.0,17,450,5.5
7191,5355.567010309278,1747.49,2.0465306122448976,162.0,17,450,5.5
7201,5355.567010309278,1747.49,2.0465306122448976,158.55,17,450,5.5
7211,5355.567010309278,1747.49,2.0465306122448976,160.0,17,450,5.5
7221,4194.358974358975,-311.7,2.5,100.0,15,450,5.5
7231,3716.3120567375886,1940.39,1.35,5.0,16,450,5.5
7241,3716.3120567375886,1940.39,1.35,226.71,16,450,5.5
7251,3716.3120567375886,1940.39,1.35,221.4,16,450,5.5
7261,3716.3120567375886,1940.39,1.35,20.0,16,450,5.5
7271,3716.3120567375886,1940.39,1.35,235.0,16,450,5.5
7281,3388.6666666666665,555.93,2.5,150.0,15,350,5.5
7291,3388.6666666666665,555.93,2.5,150.0,15,350,5.5
7301,3597.153846153846,536.12,2.5,150.0,13,350,5.5
7311,3597.153846153846,536.12,2.5,150.0,13,350,5.5
7321,5675.272727272727,675.28,2.5,150.0,15,350,5.5
7331,5675.272727272727,675.28,2.5,150.0,15,350,5.5
7341,3871.818181818182,620.22,2.5,150.0,16,350,5.5
7351,3871.818181818182,620.22,2.5,150.0,16,350,5.5
7361,3647.3529411764707,602.91,2.5,150.0,16,350,5.5
7371,3647.3529411764707,602.91,2.5,150.0,16,350,5.5
7381,3883.177570093458,564.37,2.5,150.0,13,350,5.5
7391,3883.177570093458,564.37,2.5,150.0,13,350,5.5
7401,4068.5714285714284,728.41,2.476,150.0,8,450,5.5
7411,4068.5714285714284,728.41,2.476,100.0,8,450,5.5
7421,4068.5714285714284,728.41,2.476,150.0,8,450,5.5
7431,4068.5714285714284,728.41,2.476,160.0,8,450,5.5
7441,4560.428571428572,950.38,2.5,220.0,20,350,5.5
7451,4560.428571428572,950.38,2.5,120.0,20,350,5.5
7461,4560.428571428572,950.38,2.5,130.0,20,350,5.5
7471,4560.428571428572,950.38,2.5,230.0,20,350,5.5
7481,4560.428571428572,950.38,2.5,180.0,20,350,5.5
7491,3651.875,46.64,2.5,220.0,17,350,5.5
7501,3651.875,46.64,2.5,130.0,17,350,5.5
7511,3651.875,46.64,2.5,120.0,17,350,5.5
7521,3651.875,46.64,2.5,240.0,17,350,5.5
7531,2936.818181818182,23.35,2.5,220.0,18,350,5.5
7541,2936.818181818182,23.35,2.5,130.0,18,350,5.5
7551,2936.818181818182,23.35,2.5,120.0,18,350,5.5
7561,2936.818181818182,23.35,2.5,240.0,18,350,5.5
7571,1850.4736842105262,-590.36,2.8,120.0,15,450,5.5
7581,3447.222222222222,-153.03,2.5,350.0,15,350,5.5
7591,3447.222222222222,-153.03,2.5,150.0,15,350,5.5
7601,3447.222222222222,-153.03,2.5,120.0,15,350,5.5
7611,3261.6666666666665,-170.33,2.5,350.0,15,350,5.5
7621,3261.6666666666665,-170.33,2.5,150.0,15,350,5.5
7631,3261.6666666666665,-170.33,2.5,120.0,15,350,5.5
7641,4075.6,-125.84,2.5,350.0,15,350,5.5
7651,4075.6,-125.84,2.5,150.0,15,350,5.5
7661,4075.6,-125.84,2.5,120.0,15,350,5.5
7671,3445.6,167.6,2.5,350.0,10,350,5.5
7681,3445.6,167.6,2.5,150.0,10,350,5.5
7691,3445.6,167.6,2.5,120.0,10,350,5.5
7701,3782.4137931034484,-130.78,2.5,350.0,15,350,5.5
7711,3782.4137931034484,-130.78,2.5,150.0,15,350,5.5
7721,3782.4137931034484,-130.78,2.5,120.0,15,350,5.5
7731,4185.833333333333,-124.07,2.5,350.0,15,350,5.5
7741,4185.833333333333,-124.07,2.5,150.0,15,350,5.5
7751,4185.833333333333,-124.07,2.5,120.0,15,350,5.5
7761,4595.896266742661,1961.23,2.5,120.0,11,350,5.5
7771,4595.896266742661,1961.23,2.5,350.0,11,350,5.5
7781,4595.896266742661,1961.23,2.5,150.0,11,350,5.5
7791,4595.896266742661,1961.23,2.5,230.0,11,350,5.5
7801,4595.896266742661,1961.23,2.5,240.0,11,350,5.5
7811,4851.866666666667,761.95,2.5,350.0,9,350,5.5
7821,4851.866666666667,761.95,2.5,150.0,9,350,5.5
7831,4851.866666666667,761.95,2.5,120.0,9,350,5.5
7841,4851.866666666667,761.95,2.5,240.0,9,350,5.5
7851,4938.333333333333,807.55,2.5,120.0,12,350,5.5
7861,4938.333333333333,807.55,2.5,350.0,12,350,5.5
7871,4938.333333333333,807.55,2.5,150.0,12,350,5.5
7881,4938.333333333333,807.55,2.5,240.0,12,350,5.5
7891,3663.8888888888887,-133.61,2.5,350.0,15,350,5.5
7901,3663.8888888888887,-133.61,2.5,150.0,15,350,5.5
7911,3663.8888888888887,-133.61,2.5,120.0,15,350,5.5
7921,3012.6315789473683,-175.62,2.5,350.0,15,350,5.5
7931,3012.6315789473683,-175.62,2.5,150.0,15,350,5.5
7941,3012.6315789473683,-175.62,2.5,120.0,15,350,5.5
7951,4163.414634146341,-276.05,2.5,350.0,8,350,5.5
7961,4163.414634146341,-276.05,2.5,150.0,8,350,5.5
7971,4163.414634146341,-276.05,2.5,120.0,8,350,5.5
7981,4289.583333333333,-122.66,2.5,350.0,15,350,5.5
7991,4289.583333333333,-122.66,2.5,150.0,15,350,5.5
8001,4289.583333333333,-122.66,2.5,120.0,15,350,5.5
8011,6193.333333333333,720.33,3.2400000000000007,280.0,13,450,5.63
8021,6193.333333333333,720.33,3.2400000000000007,180.0,13,450,5.63
8031,3871.28,61.97,2.5,310.0,15,350,5.5
8041,3871.28,61.97,2.5,190.0,15,350,5.5
8051,3871.28,61.97,2.5,200.0,15,350,5.5
8061,3964.72,59.15,2.5,310.0,15,350,5.5
8071,3964.72,59.15,2.5,190.0,15,350,5.5
8081,3964.72,59.15,2.5,200.0,15,350,5.5
8091,4584.25,1167.52,2.5,315.0,15,350,5.5
8101,4584.25,1167.52,2.5,200.0,15,350,5.5
8111,4584.25,1167.52,2.5,200.0,15,350,5.5
8121,4822.833333333333,796.11,2.5,325.0,9,350,5.5
8131,4822.833333333333,796.11,2.5,200.0,9,350,5.5
8141,4822.833333333333,796.11,2.5,200.0,9,350,5.5
8151,3593.0526315789475,731.08,2.5,310.0,8,350,5.5
8161,3593.0526315789475,731.08,2.5,190.0,8,350,5.5
8171,3593.0526315789475,731.08,2.5,200.0,8,350,5.5
8181,3221.36,-1611.75,3.7599999999999993,325.0,15,450,5.5
8191,3202.923076923077,-1686.75,3.87,325.0,15,450,5.5
8201,3490.75,-2218.8,4.6,325.0,15,450,5.5
8211,4389.6,948.73,2.5,500.0,10,350,5.5
8221,4389.6,948.73,2.5,130.0,10,350,5.5
8231,4389.6,948.73,2.5,200.0,10,350,5.5
8241,3754.2,980.97,2.5,500.0,15,350,5.5
8251,3754.2,980.97,2.5,130.0,15,350,5.5
8261,3754.2,980.97,2.5,200.0,15,350,5.5
8271,4987.0,1236.15,2.66,450.0,12,450,5.5
8281,4987.0,1236.15,2.66,220.0,12,450,5.5
8291,4987.0,1236.15,2.66,250.0,12,450,5.5
8301,5456.4,-144.72,3.01,450.0,15,450,5.5
8311,5456.4,-144.72,3.01,200.0,15,450,5.5
8321,3917.375190756486,1420.09,2.3,20.0,22,450,5.5
8331,3917.375190756486,1420.09,2.3,5.0,22,450,5.5
8341,3917.375190756486,1420.09,2.3,120.0,22,450,5.5
8351,3917.375190756486,1420.09,2.3,200.0,22,450,5.5
8361,3917.375190756486,1420.09,2.3,249.8,22,450,5.5
8371,4323.611111111111,1363.35,1.98,20.0,20,450,5.5
8381,4323.611111111111,1363.35,1.98,5.0,20,450,5.5
8391,4323.611111111111,1363.35,1.98,155.2,20,450,5.5
8401,4323.611111111111,1363.35,1.98,50.55,20,450,5.5
8411,4323.611111111111,1363.35,1.98,215.27,20,450,5.5
8421,4323.611111111111,1363.35,1.98,130.0,20,450,5.5
8431,3380.5555555555557,712.36,2.5,250.0,8,450,5.5
8441,3380.5555555555557,712.36,2.5,230.0,8,450,5.5
8451,3380.5555555555557,712.36,2.5,130.0,8,450,5.5
8461,2965.3333333333335,-15.82,3.485483870967741,250.0,9,450,5.5
8471,2965.3333333333335,-15.82,3.485483870967741,190.0,9,450,5.5
8481,2965.3333333333335,-15.82,3.485483870967741,130.0,9,450,5.5
8491,2908.2,599.17,2.5,200.0,15,350,5.5
8501,2908.2,599.17,2.5,200.0,15,350,5.5
8511,2908.2,599.17,2.5,100.0,15,350,5.5
8521,2908.2,599.17,2.5,300.0,15,350,5.5
8531,2991.509433962264,609.35,2.5,200.0,16,350,5.5
8541,2991.509433962264,609.35,2.5,200.0,16,350,5.5
8551,2991.509433962264,609.35,2.5,300.0,16,350,5.5
8561,3521.714285714286,491.82,2.2008333333333328,300.0,24,450,5.5
8571,3521.714285714286,491.82,2.2008333333333328,100.0,24,450,5.5
8581,3521.714285714286,491.82,2.2008333333333328,145.0,24,450,5.5
8591,5423.857142857143,1342.52,2.1412499999999994,240.0,9,450,5.5
8601,5423.857142857143,1342.52,2.1412499999999994,205.0,9,450,5.5
8611,5423.857142857143,1342.52,2.1412499999999994,200.0,9,450,5.5
8621,4325.2,1014.71,2.598846153846154,226.0,24,450,5.5
8631,4325.2,1014.71,2.598846153846154,265.0,24,450,5.5
8641,4325.2,1014.71,2.598846153846154,150.0,24,450,5.5
8651,4297.578947368421,1068.16,2.061562500000001,200.0,30,450,5.5
8661,4297.578947368421,1068.16,2.061562500000001,205.0,30,450,5.5
8671,4297.578947368421,1068.16,2.061562500000001,105.0,30,450,5.5
8681,991.4634146341464,724.29,2.4,133.0,13,450,5.5
8691,2147.75,13.72,2.5,220.0,14,350,5.5
8701,2147.75,13.72,2.5,200.0,14,350,5.5
8711,2748.6666666666665,-1.02,2.5,250.0,11,350,5.5
8721,1796.820512820513,816.63,2.5,220.0,13,350,5.5
8731,1796.820512820513,816.63,2.5,200.0,13,350,5.5
8741,2980.3076923076924,-228.0,2.5,100.0,13,350,5.5
8751,2980.3076923076924,-228.0,2.5,140.0,13,350,5.5
8761,2520.25,701.71,2.6,100.0,19,450,5.5
8771,2520.25,701.71,2.6,160.0,19,450,5.5
8781,2520.25,701.71,2.6,200.0,19,450,5.5
8791,2022.25,652.23,2.6,100.0,17,450,5.5
8801,2022.25,652.23,2.6,160.0,17,450,5.5
8811,2022.25,652.23,2.6,200.0,17,450,5.5
8821,2028.5,-493.5,2.5,460.0,16,350,5.5
8831,2028.5,-493.5,2.5,200.0,16,350,5.5
8841,4433.218334154756,-42.83,2.5,200.4,15,450,5.5
8851,4433.218334154756,-42.83,2.5,221.8,15,450,5.5
8861,4433.218334154756,-42.83,2.5,197.0,15,450,5.5
8871,4414.5077720207255,-73.84,2.5,200.5,15,450,5.5
8881,4414.5077720207255,-73.84,2.5,207.3,15,450,5.5
8891,4414.5077720207255,-73.84,2.5,174.9,15,450,5.5
8901,1763.0,52.6,2.45,220.0,19,450,5.5
8911,2390.153846153846,811.5,2.5,450.0,11,350,5.5
8921,2390.153846153846,811.5,2.5,160.0,11,350,5.5
8931,2390.153846153846,811.5,2.5,200.0,11,350,5.5
8941,2664.4210526315787,783.94,2.5,450.0,10,350,5.5
