,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
49,M2V2027,3214.68,450.0,16.0,2.5,1664.421052631579,315.1,0.0,71.35810000000001,0.0,337.32919999999996,0.0,162.0
50,M6I2093,280.04,350.0,18.0,2.5,3896.5,0.0,0.0,25.3,0.0,119.6,0.0,120.0
51,M6I2094,286.06,350.0,19.0,2.5,3576.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0
52,M6I2095,1077.33,350.0,15.0,2.5,3100.0,0.0,0.0,25.3,0.0,119.6,0.0,120.0
53,M6I2096,1258.23,350.0,21.0,2.5,4442.5,0.0,0.0,25.3,0.0,119.6,0.0,120.0
54,M6I2097,1109.83,350.0,16.0,2.5,3835.5555555555557,0.0,0.0,25.3,0.0,119.6,0.0,120.0
55,M6I2098,1058.22,350.0,13.0,2.5,3613.3333333333335,0.0,0.0,25.3,0.0,119.6,0.0,120.0
56,M6V2052,-82.91,450.0,9.0,2.86,2778.832116788321,69.0,150.7,0.0,0.0,0.0,0.0,0.0
57,M6I2038,-559.76,350.0,15.0,2.5,4367.458482236704,0.0,0.0,17.93,0.0,84.76,0.0,69.6
58,M6I2041,-469.93,350.0,15.0,2.5,4900.040855236279,0.0,0.0,25.52,0.0,120.64,0.0,117.6
59,M6I2042,-559.94,350.0,15.0,2.5,4677.776605843265,0.0,0.0,13.75,0.0,65.0,0.0,123.6
60,M6I2043,-576.1,350.0,15.0,2.5,3610.7745564690613,0.0,0.0,15.84,0.0,74.88,0.0,121.8
61,M6I2044,167.25,350.0,15.0,2.5,5174.348697394789,87.4,0.0,20.7306,0.0,97.9992,0.0,105.0
62,M6I2045,-517.03,350.0,15.0,2.5,4983.862461765636,0.0,0.0,20.5183,0.0,96.9956,0.0,111.6
63,M6I2046,-492.96,350.0,15.0,2.5,4856.646825396825,0.0,0.0,23.87,0.0,112.84,0.0,82.8
64,M6I2047,94.93,350.0,15.0,2.5,5222.068965517241,87.4,0.0,13.2,0.0,62.4,0.0,84.0
65,M6I2048,147.03,350.0,15.0,2.5,5696.892138939671,87.4,0.0,13.2,0.0,62.4,0.0,145.99800000000002
66,M2I2036,-598.51,350.0,15.0,2.5,3796.03305785124,0.0,0.0,22.0,0.0,104.0,0.0,0.0
67,M2I2037,-563.55,350.0,15.0,2.5,4414.311377245509,0.0,0.0,22.0,0.0,104.0,0.0,0.0
68,M2V2017,813.39,450.0,23.0,2.5,3461.0810810810813,55.2,0.0,0.0,0.0,0.0,0.0,0.0
69,M6I20130,890.3,350.0,16.0,2.5,4189.333333333333,161.0,0.0,25.3,0.0,119.6,0.0,120.0
70,M6I20131,40.85,350.0,15.0,2.5,3646.823529411765,69.0,0.0,25.3,0.0,119.6,0.0,120.0
71,M7I2076,866.61,350.0,15.0,2.5,2054.3529411764707,184.0,0.0,17.05,0.0,80.6,0.0,102.0
72,M7I2077,1129.61,350.0,19.0,2.5,2698.4745762711864,105.8,0.0,16.72,0.0,79.04,0.0,111.0
73,M7I2078,1070.73,350.0,21.0,2.5,4224.0,92.0,0.0,16.72,0.0,79.04,0.0,117.0
74,M7V2067,1106.38,450.0,17.0,2.5,3306.0,92.0,0.0,22.0,0.0,104.0,0.0,120.0
75,M6I20152,950.98,350.0,21.0,2.5,1123.612740232789,184.0,0.0,25.3,0.0,119.6,0.0,0.0
76,M6I20153,1043.16,350.0,22.0,2.5,2386.2776877363585,92.0,0.0,25.3,0.0,119.6,0.0,0.0
77,M6I20154,423.63,350.0,13.0,2.5,2535.405041370021,138.0,0.0,25.3,0.0,119.6,0.0,0.0
78,M6I20155,919.91,350.0,13.0,2.5,2679.4318590435096,92.0,0.0,25.3,0.0,119.6,0.0,120.0
79,M7I2024,870.74,350.0,20.0,2.5,2918.974358974359,55.2,0.0,22.33,0.0,105.56,0.0,120.0
80,M7I2025,976.89,350.0,20.0,2.5,3232.1428571428573,117.3,0.0,22.33,0.0,105.56,0.0,90.0
81,M7I2026,881.41,350.0,18.0,2.5,4033.2075471698113,82.8,0.0,22.33,0.0,105.56,0.0,120.0
82,M7V2029,1255.56,450.0,25.0,2.5,4416.88,59.8,0.0,23.1,0.0,109.2,0.0,120.0
83,M7V2030,914.34,450.0,23.0,2.5,4351.727272727273,59.8,0.0,0.0,0.0,0.0,0.0,0.0
84,M7V2031,820.02,450.0,21.0,2.5,3427.2727272727275,59.8,0.0,0.0,0.0,0.0,0.0,0.0
85,M7V2032,689.96,450.0,15.0,2.5,2931.276595744681,59.8,0.0,0.0,0.0,0.0,0.0,0.0
86,M7V2033,-194.42,450.0,18.0,2.5,4662.738095238095,59.8,0.0,0.0,0.0,0.0,0.0,0.0
87,M7V2034,1248.87,450.0,26.0,2.5,4016.076923076923,59.8,0.0,23.1,0.0,109.2,0.0,120.0
88,M6I2012,-577.94,350.0,15.0,2.5,3829.1346153846152,0.0,0.0,22.0,0.0,104.0,72.0,0.0
89,M6I2013,163.09,350.0,15.0,2.5,4292.692307692308,92.0,0.0,22.0,0.0,104.0,72.0,0.0
90,M6I2014,496.51,350.0,15.0,2.5,4125.393258426966,92.0,90.0,22.0,0.0,104.0,72.0,0.0
91,M7V2023,-493.88,450.0,13.0,4.5,3685.6190476190477,92.0,0.0,17.6,0.0,83.2,0.0,120.0
92,M7V2024,1135.37,450.0,16.0,2.5,5446.666666666667,92.0,0.0,16.5,0.0,78.0,0.0,120.0
93,M7V2025,-1146.97,450.0,23.0,4.5,3197.3333333333335,92.0,0.0,22.0,0.0,104.0,0.0,120.0
94,M7V2026,-665.73,450.0,15.0,4.8,4785.333333333333,92.0,0.0,16.5,0.0,78.0,0.0,120.0
95,M7V2027,-1427.07,450.0,19.0,5.3,4104.833333333333,92.0,0.0,16.5,0.0,78.0,0.0,108.0
96,M7V2028,-1074.05,450.0,28.0,4.6,3308.9166666666665,92.0,0.0,23.1,0.0,109.2,0.0,120.0
97,M7I2012,1102.21,350.0,20.0,2.5,4794.625,92.0,0.0,17.6,0.0,83.2,0.0,108.0
98,M7I2013,1018.44,350.0,16.0,2.5,4817.906976744186,92.0,0.0,17.6,0.0,83.2,0.0,102.0
99,M7I2014,1009.29,350.0,16.0,2.5,3685.222222222222,186.3,0.0,22.0,0.0,104.0,0.0,120.0
100,M7I2015,961.43,350.0,13.0,2.5,3783.0,183.07999999999998,0.0,24.2,0.0,114.4,0.0,108.0
101,M7I2016,1064.11,350.0,15.0,2.5,4267.2307692307695,182.16,0.0,24.2,0.0,114.4,0.0,108.0
102,M7I2017,1038.79,350.0,15.0,2.5,4260.0,181.7,0.0,22.0,0.0,104.0,0.0,108.0
103,M7I2018,876.16,350.0,12.0,2.5,3112.769230769231,181.7,0.0,24.2,0.0,114.4,0.0,108.0
104,M7I2035,1058.31,350.0,15.0,2.5,4696.222222222223,92.0,0.0,24.2,0.0,114.4,0.0,90.0
105,M7V2006,1056.86,450.0,20.0,2.5,1162.375,188.60000000000002,0.0,24.2,0.0,114.4,0.0,132.0
106,M7V2007,-1373.27,450.0,14.0,4.6,3018.2,94.76,0.0,22.0,0.0,104.0,0.0,132.0
107,M7V2008,222.16,450.0,13.0,3.5487804878048776,2620.0,185.38,0.0,22.0,0.0,104.0,0.0,126.0
108,M7V2009,-510.9,450.0,16.0,4.5285714285714285,2134.5,187.68,0.0,22.0,0.0,104.0,0.0,120.0
109,M7V2010,-811.34,450.0,16.0,5.0,2763.0,185.38,0.0,22.0,0.0,104.0,0.0,126.0
110,M7V2011,-1247.12,450.0,17.0,4.6,3497.4418604651164,94.3,0.0,22.0,0.0,104.0,0.0,120.0
111,M7V2012,-519.56,450.0,19.0,4.8,4758.4,186.3,0.0,22.0,0.0,104.0,0.0,132.0
112,M7V2013,-577.56,450.0,14.0,5.5,1647.4615384615386,189.98000000000002,0.0,24.2,0.0,114.4,0.0,120.0
