,0,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,value,Soil_pH
5281,2852.751677852349,2.697872340425532,210.0,34,450,988.22,5.080851063829789
5321,3452.3863636363635,2.5,330.0,15,350,-623.14,5.5
5341,3364.6153846153848,2.5,150.0,15,350,-59.9,5.5
5351,3364.6153846153848,2.5,260.0,15,350,-59.9,5.5
5361,3364.6153846153848,2.5,200.0,15,350,-59.9,5.5
5371,2826.6666666666665,2.5,350.0,15,350,-666.04,5.5
5391,3543.846153846154,2.5,330.0,15,350,-621.57,5.5
5411,3157.7049180327867,2.5,330.0,15,350,-631.81,5.5
5431,3660.714285714286,2.5,330.0,15,350,-649.24,5.5
5441,3166.0,2.5,330.0,15,350,-645.24,5.5
5601,4447.5675675675675,2.11,200.0,15,450,-208.48,5.5
5611,4447.5675675675675,2.11,240.0,15,450,-208.48,5.5
5621,4180.9876543209875,1.98,180.0,15,450,233.08,5.5
5771,1828.0,2.5,150.0,23,350,238.65,5.5
5841,5816.346153846154,2.5,312.0,20,350,1069.84,5.5
5881,4171.764705882353,2.5,312.0,16,350,1088.29,5.5
6151,4753.053892215569,2.5,105.0,19,450,-62.67,5.5
6201,4166.615384615385,1.95,450.0,18,450,562.77,5.5
6231,3834.494382022472,2.5,300.0,10,350,750.63,5.5
6261,4153.220338983051,2.5,300.0,14,350,854.15,5.5
6291,3612.962962962963,2.5,266.0,14,350,814.24,5.5
6321,2226.875,2.5,200.0,13,350,-469.06,5.5
6351,2600.689655172414,2.5,200.0,11,350,-714.94,5.5
6371,2695.5,2.5,200.0,12,350,-679.61,5.5
6391,2625.1612903225805,2.5,200.0,15,350,-619.52,5.5
6541,4786.9,2.5,300.0,14,350,349.85,5.5
6571,5234.476190476191,2.5,330.0,18,350,488.41,5.5
6601,4358.380952380952,2.5,300.0,20,350,462.26,5.5
6631,3546.0,2.5,220.0,21,350,334.79,5.5
6681,2173.214285714286,2.5,220.0,25,350,352.49,5.5
6731,986.6666666666666,2.5,220.0,21,350,358.37,5.5
6791,1495.4285714285713,2.5,220.0,21,350,375.07,5.5
6851,1485.531914893617,2.5,280.0,25,350,300.12,5.5
6901,1156.9565217391305,2.5,220.0,25,350,275.9,5.5
7441,4560.428571428572,2.5,220.0,20,350,950.38,5.5
7451,4560.428571428572,2.5,120.0,20,350,950.38,5.5
7461,4560.428571428572,2.5,130.0,20,350,950.38,5.5
7491,3651.875,2.5,220.0,17,350,46.64,5.5
7501,3651.875,2.5,130.0,17,350,46.64,5.5
7511,3651.875,2.5,120.0,17,350,46.64,5.5
7531,2936.818181818182,2.5,220.0,18,350,23.35,5.5
7541,2936.818181818182,2.5,130.0,18,350,23.35,5.5
7551,2936.818181818182,2.5,120.0,18,350,23.35,5.5
7581,3447.222222222222,2.5,350.0,15,350,-153.03,5.5
7611,3261.6666666666665,2.5,350.0,15,350,-170.33,5.5
7641,4075.6,2.5,350.0,15,350,-125.84,5.5
7671,3445.6,2.5,350.0,10,350,167.6,5.5
7701,3782.4137931034484,2.5,350.0,15,350,-130.78,5.5
7731,4185.833333333333,2.5,350.0,15,350,-124.07,5.5
7761,4595.896266742661,2.5,120.0,11,350,1961.23,5.5
7771,4595.896266742661,2.5,350.0,11,350,1961.23,5.5
7811,4851.866666666667,2.5,350.0,9,350,761.95,5.5
7851,4938.333333333333,2.5,120.0,12,350,807.55,5.5
7861,4938.333333333333,2.5,350.0,12,350,807.55,5.5
7891,3663.8888888888887,2.5,350.0,15,350,-133.61,5.5
7921,3012.6315789473683,2.5,350.0,15,350,-175.62,5.5
7951,4163.414634146341,2.5,350.0,8,350,-276.05,5.5
7981,4289.583333333333,2.5,350.0,15,350,-122.66,5.5
8031,3871.28,2.5,310.0,15,350,61.97,5.5
8061,3964.72,2.5,310.0,15,350,59.15,5.5
8121,4822.833333333333,2.5,325.0,9,350,796.11,5.5
8151,3593.0526315789475,2.5,310.0,8,350,731.08,5.5
8181,3221.36,3.7599999999999993,325.0,15,450,-1611.75,5.5
8191,3202.923076923077,3.87,325.0,15,450,-1686.75,5.5
8201,3490.75,4.6,325.0,15,450,-2218.8,5.5
8211,4389.6,2.5,500.0,10,350,948.73,5.5
