,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
77,M7I2041,25.0,2.5,4735.714285714285,101.19999999999999,86.60000000000001,123.6,352.49
78,M7I2042,21.0,2.5,3013.333333333333,114.25999999999999,84.52000000000001,125.4,358.37
79,M7I2043,21.0,2.5,3551.1428571428573,114.25999999999999,84.52000000000001,124.8,375.07
80,M7I2044,25.0,2.5,2687.872340425532,103.75999999999999,106.72,118.8,300.12
81,M7I2046,25.0,2.5,2283.913043478261,101.19999999999999,86.60000000000001,125.4,275.9
82,M6I20111,13.0,2.5,6178.769230769231,186.3,119.6,132.0,735.25
83,M2I2025,20.0,2.5,8445.285714285714,274.6,119.6,132.0,950.38
84,M2I2026,17.0,2.5,7234.375,192.9,124.8,132.0,46.64
85,M2I2027,18.0,2.5,5850.181818181818,192.9,124.8,132.0,23.35
86,M6I20142,15.0,2.5,7211.111111111111,96.5,56.0,128.0,-153.03
87,M6I20143,15.0,2.5,6667.222222222223,96.5,56.0,128.0,-170.33
88,M6I20144,15.0,2.5,8070.4,96.5,56.0,128.0,-125.84
89,M6I20145,10.0,2.5,7160.8,137.0,56.0,128.0,167.6
90,M6I2059,15.0,2.5,7914.827586206897,96.5,56.0,128.0,-130.78
91,M6I2060,15.0,2.5,8120.0,96.5,56.0,128.0,-124.07
92,M6I2061,11.0,2.5,8572.242804217725,312.7,56.0,128.0,1961.23
93,M6I2062,9.0,2.5,9321.6,206.9,56.0,128.0,761.95
94,M6I2063,12.0,2.5,9471.111111111111,206.9,56.0,128.0,807.55
95,M6I2064,15.0,2.5,7827.222222222223,96.5,56.0,128.0,-133.61
96,M6I2065,15.0,2.5,6494.736842105263,96.5,56.0,128.0,-175.62
97,M6I2066,8.0,2.5,7858.780487804878,96.5,56.0,128.0,-276.05
98,M6I2067,15.0,2.5,8167.5,96.5,56.0,128.0,-122.66
99,M6I2018,15.0,2.5,7499.68,107.5,114.7,114.0,61.97
100,M6I2019,15.0,2.5,7410.72,107.5,114.7,114.0,59.15
101,M6I2020,15.0,2.5,8659.25,218.65,163.8,120.0,1167.52
102,M6I2021,9.0,2.5,8139.75,200.25,120.25,120.0,796.11
103,M6I2075,8.0,2.5,6956.631578947368,199.5,114.7,114.0,731.08
104,M6I20149,10.0,2.5,8805.4,224.0,120.0,138.0,948.73
105,M6I20150,15.0,2.5,6583.0,224.0,120.0,138.0,980.97
106,M7I2010,15.0,2.5,7691.6,160.0,104.0,180.0,599.17
107,M7I2011,16.0,2.5,8151.509433962264,160.0,104.0,120.0,609.35
108,M6I20170,16.0,2.5,3926.5,108.8,110.4,85.2,-493.5
109,M6I20165,11.0,2.5,7088.0,202.0,108.0,150.0,811.5
110,M6I20166,10.0,2.5,6863.368421052632,202.0,108.0,150.0,783.94
111,M6I20178,15.0,2.5,12122.0,186.65,127.8,139.8,876.91
112,M6I20180,15.0,2.5,2010.1333333333332,186.65,127.8,139.8,557.01
113,M6I20118,14.0,2.5,6679.384615384615,115.3,119.6,120.0,-289.27
114,M6I20108,16.0,2.5,6234.054054054054,199.0,111.0,132.0,876.85
115,M6I20109,13.0,2.5,7783.466666666666,199.0,111.0,132.0,864.07
116,M6I20119,19.0,2.5,6045.238095238095,199.0,111.0,132.0,932.34
117,M7I2001,22.0,2.5,6463.9,292.5,78.0,108.0,2098.82
118,M7I2002,22.0,2.5,7839.1,194.0,70.0,128.0,1013.55
119,M7I2003,17.0,2.5,6208.125,217.66,73.12,128.0,1099.29
120,M7I2004,21.0,2.5,11079.56043956044,171.0,70.0,128.0,874.87
121,M6I2088,16.0,2.5,7862.777777777777,220.0,108.0,150.0,1025.8
122,M6I2089,17.0,2.5,7277.407407407408,220.0,108.0,150.0,1027.58
123,M6I2090,17.0,2.5,6498.360655737705,220.0,108.0,150.0,1002.87
124,M6I2071,15.0,2.5,3659.020979020979,16.5,78.0,108.0,-704.43
125,M7I2069,12.0,2.5,5920.865994774169,200.32,117.24,120.0,792.55
126,M7I2070,15.0,2.5,5585.280080381814,198.55,106.19999999999999,120.0,829.63
127,M7I2071,16.0,2.5,6939.067378386544,198.275,104.89999999999999,120.0,890.6
