,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
331,M6I21133,12.0,2.7125,6477.0,207.65,111.8,120.0,772.27
332,M6I21131,11.0,2.2285714285714286,4453.0,207.65,111.8,120.0,1047.35
333,M6I21132,16.0,2.18125,3628.0,207.65,111.8,120.0,1158.87
334,M6I21130,14.0,2.1707317073170733,2670.75,207.65,111.8,120.0,1095.32
335,M6I21205,17.0,2.7564102564102564,5091.914893617021,153.8,93.6,120.0,945.5
336,M6I2164,23.0,2.5,7201.851851851852,210.0,104.0,120.0,2071.85
337,M6I2165,13.0,2.661904761904762,5091.964285714285,153.8,93.6,108.0,928.75
338,M6I2166,16.0,2.6166666666666667,5092.0,153.8,93.6,90.0,326.57
339,M6I2167,25.0,2.5,7029.069767441861,108.1,83.2,120.0,572.75
340,M6I2168,25.0,2.7564102564102564,6981.276595744681,210.0,104.0,120.0,1915.66
341,M6I2183,14.0,2.5708333333333333,4054.7619047619046,206.4,78.4,134.8,1348.88
342,M6I2184,16.0,2.5278260869565217,4054.7619047619046,153.8,93.6,120.0,1061.97
343,M7I2129,15.0,3.2,5927.894736842105,206.4,112.0,120.0,354.92
344,M7I2131,15.0,3.5,6623.958333333333,203.2,96.0,108.0,131.19
345,M7I2132,15.0,3.6,8280.0,203.2,96.0,108.0,109.16
346,M7I2134,15.0,2.3,7668.0,203.2,96.0,108.0,1055.45
347,M7I2135,22.0,2.7071428571428573,6399.72972972973,203.2,96.0,90.0,848.81
348,M7I2136,19.0,2.4,5748.035714285715,203.2,96.0,90.0,995.0
349,M6I21102,17.0,3.046875,4054.754098360656,156.4,78.4,164.8,635.2
350,M6I21183,15.0,2.5,4650.769230769231,215.4,108.0,168.0,863.69
351,M6I21184,15.0,3.1,6298.125,220.0,108.0,162.0,514.75
352,M6I21185,15.0,3.1,8210.882352941177,220.0,108.0,174.0,580.45
353,M6I21143,9.0,3.540625,11689.75,191.34,121.68,138.0,105.64
354,M6I21144,10.0,2.8833333333333333,9552.08695652174,191.34,121.68,138.0,546.63
355,M6I21145,12.0,2.940625,10369.565217391304,177.32000000000002,120.64,138.0,436.83
356,M7I2175,20.0,2.59,11261.478260869566,203.57999999999998,92.56,102.0,1132.28
357,M7I2182,20.0,2.68625,4299.875,215.24,147.68,90.0,947.94
358,M7I2183,24.0,3.8146874999999993,8516.307692307691,215.79,150.28,90.0,330.49
359,M7I2184,20.0,3.5370000000000004,4299.8,215.24,147.68,90.0,315.95
360,M7I2185,19.0,3.5775,6908.25,215.24,147.68,120.0,360.39
361,M7I2186,24.0,1.5891891891891892,10182.933333333332,271.55,132.6,108.0,2525.0
362,M7I2187,21.0,1.5192307692307692,11515.6,271.77,133.64,108.0,2560.11
363,M7I2188,20.0,2.1115384615384616,8252.4,258.05,132.6,108.0,1974.12
364,M7I2189,24.0,1.4675675675675677,8504.8,271.55,132.6,108.0,2562.38
365,M6I21179,15.0,2.7,5498.266666666666,112.0,86.4,78.0,-610.22
366,M6I21180,15.0,2.66,5880.0,128.0,86.4,36.0,-81.29
367,M6I2187,25.0,2.5,9267.777777777776,208.0,136.0,168.0,237.95
368,M7I21101,19.0,3.333333333333333,5610.5,208.10000000000002,98.8,90.0,373.55
369,M7I21102,21.0,3.2583333333333337,5610.416666666667,208.10000000000002,98.8,90.0,470.26
370,M7I21103,22.0,2.89375,5610.540540540541,210.4,98.8,90.0,784.98
371,M7I21104,21.0,3.18125,8378.648648648648,170.3,98.8,90.0,327.29
372,M7I21105,19.0,2.812903225806452,5610.5970149253735,173.5,98.8,90.0,505.31
