Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
22,4.611764706,184,17,0,125.8,0,0,90,-148.62,10596.37255
27,2.5,230,0,27.5,0,130,0,90,1876.18,8937.222222
18,2.5,184,0,27.5,0,130,0,90,1625.27,6294.666667
27,2.5,230,0,27.5,0,130,0,90,1876.18,5607.297297
25,2.5,92,0,27.5,0,130,0,90,1742.96,4330.25
27,2.5,92,0,27.5,0,130,0,90,1764.19,3699.777778
23,3.7,161,17,0,125.8,0,0,96,456.16,7326.041667
15,2.95,0,0,16.5,0,78,0,0,-998.34,5226.086957
15,2.570833333,0,0,16.5,0,78,0,120,-582.69,7885.238095
15,2.527826087,0,0,16.5,0,78,0,120,-606.88,6110.634921
15,2.5,0,27,43.5,0,78,0,120,-16.35,7518.214286
15,2.5,0,0,16.5,0,78,0,0,-716.67,3560.952381
19,3.67195122,184,0,26.29,0,124.28,0,102,333.95,8920.879121
25,3.3425,184,0,25.96,0,122.72,0,102,727.1,9819.166667
27,3.248854962,184,0,26.62,0,125.84,0,102,764.59,7313.59375
22,3.479710145,184,0,27.9125,0,131.95,0,108,563.84,9149.15493
17,2.5,184,0,27.83,0,131.56,0,108,1189.74,9190.75
15,3.222146341,0,0,16.5,0,78,0,0,-1169.08,6212
15,2.5,0,0,16.5,0,78,0,0,-716.67,4221.263158
15,3.2,0,180,0,0,0,180,0,-643.96,7576.382979
15,2.8,0,180,0,0,0,180,0,-399.78,5906.981132
10,3.5,186.3,0,0,0,0,0,100.2,32.85,8383.939394
8,3.6,62.1,0,0,0,0,0,181.2,-1145.98,7419.192547
15,2.5,92,0,0,0,0,0,0,-0.97,8201.75
15,3.1,92,36,0,63,0,150,0,-337.4,6407.142857
15,2.1,92,36,0,126,0,150,0,438.65,7456
15,2.5,165.6,36,0,63,0,54,96,848.98,7693.066667
16,2.69,128.8,0,24.2,0,114.4,0,78,449.67,8992.923077
15,3.75,128.8,0,24.2,0,114.4,0,81,-427.99,6746.722689
20,2.86,128.8,0,24.75,0,117,0,84,417.6,9145.333333
