Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
15,1.98,0,0,27.5,0,130,0,120,44.18,11270.4878
10,4.8,211.6,0,0,0,0,0,162,-558.69,11369
14,4,128.8,0,0,0,0,0,165,-689.42,10479.54545
12,3.3,82.8,0,0,0,0,0,0,-679.33,9809.285714
8,3.41,119.6,0,0,0,0,0,168,-624.06,5019.090909
15,2.91,188.6,0,0,0,0,0,0,495.01,6495
21,2.5,186.3,0,0,0,0,0,0,953.79,8188.333333
20,2.7,186.3,0,0,0,0,0,0,797.78,8609.418605
23,2.5,165.6,0,0,0,0,0,0,813.39,7827.02381
11,3.405,0,74.25,74.25,0,0,0,0,205.85,12768
14,3.566666667,0,74.25,74.25,0,0,0,0,72.04,10385.2
19,2.5,62.1,21,0,0,0,21,0,-62.67,8847.784431
18,1.975555556,185.38,0,0,0,0,0,99.6,1275.25,6968.59375
18,1.95,84.916,36,0,126,0,72,0,562.77,8166.769231
14,2.53,84.64,0,0,0,0,0,0,-83.87,8788.2
21,2.672,0,44.55,55.55,0,52,0,120,266.88,6693.333333
21,2.973170732,0,40.5,52.6,0,57.2,0,138,-90.65,4595.641026
22,2.514285714,0,40.5,53.7,0,62.4,0,138,364.96,7292.993197
22,2.85875,0,44.55,44.55,0,0,0,120,-46.05,3322.115385
15,3.3,230,0,25.3,0,119.6,0,0,955.36,8398.301887
17,2.046530612,221.053,0,9.5,0,5.2,0,102,1747.49,9726.804124
15,2.5,46,0,0,0,0,0,0,-311.7,9637.820513
16,1.35,219.144,0,1.1,0,5.2,0,136.026,1940.39,7184.255319
8,2.476,188.6,0,0,0,0,0,90,728.41,7036.571429
15,2.8,55.2,0,0,0,0,0,0,-590.36,5688.578947
15,3.76,0,16.25,0,120.25,0,0,0,-1611.75,6629.76
15,3.87,0,16.25,0,120.25,0,0,0,-1686.75,6837.923077
15,4.6,0,16.25,0,120.25,0,0,0,-2218.8,7160.5
12,2.66,216.2,36,0,126,0,72,0,1236.15,10010.5
15,3.01,92,36,0,126,0,72,0,-144.72,10753.8
22,2.3,206.908,0,9.5,0,5.2,0,72,1420.09,7250.272509
20,1.98,182.0772,0,4.75,0,2.6,0,93.12,1363.35,8300.277778
8,2.5,119.6,0,77.8,0,119.6,0,0,712.36,7132
9,3.485483871,119.6,0,73.4,0,98.8,0,0,-15.82,7907.5
24,2.200833333,66.7,90,0,0,0,90,60,491.82,6300
9,2.14125,184,0,26.4,0,124.8,0,123,1342.52,11026.14286
24,2.598846154,190.9,0,0,0,0,0,135.6,1014.71,7299.866667
13,2.4,183.54,0,0,0,0,0,0,724.29,4618.04878
19,2.6,165.6,0,21,0,0,0,0,701.71,4278.166667
17,2.6,165.6,0,21,0,0,0,0,652.23,4003.583333
15,2.5,0,189.99,0,0,0,0,118.2,-42.83,7816.165599
15,2.5,0,183.51,0,0,0,0,104.94,-73.84,7821.632124
19,2.45,101.2,0,0,0,0,0,0,52.6,3772
11,4.5,92,0,0,0,0,0,0,-1727.93,3166.585366
21,4.5,184,0,0,0,0,0,0,-670.44,4518.214286
19,2.5,184,0,0,0,0,0,0,754.15,3878.017241
21,2.5,80.5,0,31.5,0,0,0,108,296.23,7863.188406
19,4,161,0,31.5,0,0,0,108,-147.6,7313.695652
12,2.76,92,0,0,0,0,0,0,-244.31,8559.714286
23,2.6,184.46,0,0,0,0,0,99.6,950.49,8407.225806
21,2.5,184,0,0,0,0,0,0,996.76,10259.45313
19,2.5,184,0,0,0,0,0,0,754.15,8770.985915
