,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Season,Hybrid,Planned_Yield_kg_per_ha
51,M6I2094,286.06,19.0,2.5,6639.666666666667,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
52,M6I2095,1077.33,15.0,2.5,6489.5,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
53,M6I2096,1258.23,21.0,2.5,8330.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6700.0
54,M6I2097,1109.83,16.0,2.5,6873.333333333333,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
55,M6I2098,1058.22,13.0,2.5,7185.0,25.3,119.6,120.0,WINTER,AG8480PRO3,6600.0
56,M6V2052,-82.91,9.0,2.86,5548.832116788321,219.7,0.0,0.0,SUMMER,AG7098PRO2,3100.0
57,M6I2038,-559.76,15.0,2.5,8398.99096068951,17.93,84.76,69.6,WINTER,DKB255PRO3,6600.0
58,M6I2041,-469.93,15.0,2.5,8854.282990603295,25.52,120.64,117.6,WINTER,DKB255PRO3,6600.0
59,M6I2042,-559.94,15.0,2.5,8654.46682839363,13.75,65.0,123.6,WINTER,DKB255PRO3,6600.0
60,M6I2043,-576.1,15.0,2.5,7692.449156209434,15.84,74.88,121.8,WINTER,DKB255PRO3,5900.0
61,M6I2044,167.25,15.0,2.5,9146.819955700876,108.1306,97.9992,105.0,WINTER,DKB255PRO3,6600.0
62,M6I2045,-517.03,15.0,2.5,8609.218436873747,20.5183,96.9956,111.6,WINTER,DKB255PRO3,6600.0
63,M6I2046,-492.96,15.0,2.5,8957.34126984127,23.87,112.84,82.8,WINTER,DKB255PRO3,6600.0
64,M6I2047,94.93,15.0,2.5,9069.224137931034,100.60000000000001,62.4,84.0,WINTER,DKB255PRO3,6500.0
65,M6I2048,147.03,15.0,2.5,9911.151736745886,100.60000000000001,62.4,145.99800000000002,WINTER,DKB255PRO3,6500.0
66,M2I2036,-598.51,15.0,2.5,7140.826446280992,22.0,104.0,0.0,WINTER,AG8480PRO3,6100.0
67,M2I2037,-563.55,15.0,2.5,8248.023952095808,22.0,104.0,0.0,WINTER,AG8480PRO3,6100.0
68,M2V2017,813.39,23.0,2.5,8683.153153153153,165.60000000000002,0.0,0.0,SUMMER,DKB290PRO3,4500.0
69,M6I20130,890.3,16.0,2.5,9297.166666666666,186.3,119.6,120.0,WINTER,AG8780PRO3,4800.0
70,M6I20131,40.85,15.0,2.5,8500.70588235294,94.3,119.6,120.0,WINTER,AG8780PRO3,4800.0
71,M7I2076,866.61,15.0,2.5,4653.882352941177,201.38,82.16,102.0,WINTER,AG9030PRO3,5700.0
72,M7I2077,1129.61,19.0,2.5,6022.033898305085,214.52,79.04,111.0,WINTER,AG9030PRO3,5700.0
73,M7I2078,1070.73,21.0,2.5,7221.714285714285,200.72,79.04,117.0,WINTER,AS1666PRO3,3300.0
74,M7V2067,1106.38,17.0,2.5,8185.222222222223,206.0,104.0,120.0,SUMMER,AG9030PRO3,4800.0
75,M6I20152,950.98,21.0,2.5,2361.45447983398,209.3,119.6,0.0,WINTER,DKB363PRO3,2900.0
76,M6I20153,1043.16,22.0,2.5,4633.441383036196,209.3,119.6,0.0,WINTER,DKB363PRO3,2900.0
