,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha
116,-289.27,14.0,2.5,115.3,119.6,120.0
117,876.85,16.0,2.5,107.0,111.0,132.0
118,864.07,13.0,2.5,107.0,111.0,132.0
119,932.34,19.0,2.5,107.0,111.0,132.0
120,2098.82,22.0,2.5,108.5,78.0,108.0
121,1013.55,22.0,2.5,102.0,70.0,128.0
122,1099.29,17.0,2.5,217.33,71.56,128.0
123,874.87,21.0,2.5,171.0,70.0,128.0
124,1025.8,16.0,2.5,128.0,108.0,150.0
125,1027.58,17.0,2.5,128.0,108.0,150.0
126,1002.87,17.0,2.5,128.0,108.0,150.0
127,-704.43,15.0,2.5,16.5,78.0,108.0
128,792.55,12.0,2.5,107.33,112.56,120.0
129,829.63,15.0,2.5,198.275,104.9,60.0
130,890.6,16.0,2.5,198.275,104.9,60.0
131,969.56,20.0,2.5,107.83,116.26,120.0
132,899.78,16.0,2.5,108.105,117.56,120.0
133,932.07,18.0,2.5,198.33,105.16,120.0
134,703.84,14.0,2.5,186.3,119.6,132.0
135,1217.99,23.0,2.5,120.1,83.2,100.2
136,1109.08,21.0,2.5,119.5,130.0,150.0
137,1098.14,21.0,2.5,165.5,130.0,150.0
138,1194.88,21.0,2.5,119.5,130.0,150.0
139,1192.08,22.0,2.5,119.5,130.0,150.0
140,1950.48,8.0,2.5,297.12,99.84,97.2
141,1935.19,8.0,2.5,297.23,100.36,97.2
142,2039.91,13.0,2.5,297.01,99.32,108.0
143,2001.49,13.0,2.5,297.45,101.4,111.0
144,2034.25,15.0,2.5,297.56,101.92,111.0
145,1274.52,15.0,2.5,228.34,100.88,97.8
146,512.23,10.0,2.5,185.2,120.0,130.0
147,993.24,19.0,2.5,197.9,109.2,69.0
148,1109.08,18.0,2.5,213.3,182.0,75.0
149,1178.45,17.0,2.5,117.3,119.6,120.0
150,1145.55,14.0,2.5,117.3,119.6,120.0
151,1035.35,12.0,2.5,117.3,119.6,120.0
152,1107.87,24.0,2.5,108.28,76.96,103.2
153,1094.84,24.0,2.5,108.28,76.96,105.0
154,1150.63,24.0,2.5,111.58,92.56,103.2
155,1119.66,24.0,2.5,107.18,71.76,103.2
156,1057.6,21.0,2.5,107.18,71.76,82.2
157,1134.51,23.0,2.5,108.17,76.44,100.2
158,1131.96,22.0,2.5,206.0,104.0,102.0
159,1091.1,18.0,2.5,206.0,104.0,105.0
160,1040.93,19.0,2.5,212.6,135.2,132.0
161,785.26,23.0,2.5,185.6,108.0,122.0
162,1050.97,19.0,2.5,132.0,108.0,122.0
163,1153.82,24.0,2.5,132.0,108.0,122.0
164,1549.26,24.0,2.5,250.0,108.0,122.0
165,1085.45,22.0,2.5,112.0,108.0,122.0
166,459.49,19.0,2.5,141.4,124.8,132.0
167,1116.66,21.0,2.5,109.6,83.2,100.2
168,1040.41,15.0,2.5,108.28,76.96,100.2
169,1028.14,18.0,2.5,162.275,1.3,115.8
170,855.43,15.0,2.5,191.675,113.3,115.8
171,876.99,16.0,2.5,192.2,127.6,115.8
172,1088.88,16.0,2.5,199.4,112.0,115.8
173,824.26,24.0,2.5,171.5,73.5,96.0
174,727.1,21.0,2.5,171.5,73.5,96.0
175,-490.81,14.0,2.5,104.86,86.64,77.07
176,1092.64,24.0,2.5,118.84,126.88,105.0
177,1070.82,21.0,2.5,123.24,147.68,120.0
178,1114.04,22.0,2.5,124.34,152.88000000000002,120.0
179,960.06,26.0,2.5,106.94,109.38,120.0
180,1072.26,22.0,2.5,123.24,147.68,120.0
181,905.4,15.0,2.5,108.2,119.88,132.0
182,1001.87,20.0,2.5,108.72,79.04,80.4
183,1038.38,20.0,2.5,108.72,79.04,96.0
184,1057.15,20.0,2.5,124.34,152.88000000000002,120.0
185,1036.88,19.0,2.5,123.24,147.68,120.0
186,1011.75,23.0,2.5,114.44,106.08,105.0
187,-33.22,12.0,2.5,161.0,120.0,122.0
188,472.93,9.0,2.5,185.2,120.0,70.0
189,1204.59,12.0,2.5,235.04,145.6,130.2
190,371.18,15.0,2.5,132.6,83.2,96.0
191,1207.57,21.0,2.5,120.6,135.2,90.0
192,1334.76,16.0,2.5,236.0,93.6,102.0
193,1163.01,16.0,2.5,220.3,143.6,152.0
194,1281.43,15.0,2.5,236.0,93.6,102.0
195,456.07,9.0,2.5,185.2,120.0,130.0
196,865.97,26.0,2.5,171.5,73.5,96.0
197,870.72,26.0,2.5,172.0,77.0,96.0
198,-398.67,20.0,3.950561797752809,157.45,80.6,111.0
199,-53.86,20.0,3.2,137.53500000000005,77.22,109.98
200,-550.94,22.0,3.4,97.878,79.976,98.16
201,158.85,23.0,3.0,76.3,88.4,100.2
202,1125.68,20.0,2.459999918937683,112.9,98.8,108.0
203,106.79,25.0,2.837500015894572,111.8,93.6,108.0
204,-1147.02,20.0,3.4375,19.8,93.6,120.0
205,441.3,15.0,3.330000000000003,213.7,140.4,138.0
